training_step,episode,mean_return,mean_loss,mean_episode_length
80,141,-1.386988,-0.181833,3.5461
160,279,-1.348012,0.036794,3.6812
240,419,-1.225086,-0.022950,3.7286
320,561,-1.220831,-0.015051,3.5211
400,705,-1.170333,-0.126469,3.5972
480,845,-1.183099,-0.080387,3.6929
560,993,-1.019456,-0.142809,3.4392
640,1128,-0.930217,0.332420,3.7481
720,1270,-0.865387,0.021428,3.6479
800,1409,-0.861350,0.034408,3.6475
880,1555,-0.745732,0.029896,3.5753
960,1700,-0.580673,-0.037383,3.4966
1040,1842,-0.486964,0.176650,3.6268
1120,1981,-0.568348,0.015182,3.6475
1200,2119,-0.437204,0.032547,3.6957
1280,2259,-0.327660,-0.093300,3.7000
1360,2399,-0.254786,0.188329,3.6000
1440,2548,-0.151812,0.047364,3.4362
1520,2697,-0.182438,0.095796,3.5034
1600,2849,-0.158572,0.237196,3.3618
1680,3002,-0.139216,0.186306,3.3268
1760,3156,0.069225,0.159134,3.2987
1840,3308,0.010166,0.220716,3.3882
1920,3459,0.195541,0.173091,3.3444
2000,3612,0.317880,0.257188,3.3987
2080,3771,0.252741,0.458196,3.2327
2160,3918,0.381419,0.089444,3.4558
2240,4065,0.336074,0.196615,3.4762
2320,4215,0.558932,0.260163,3.4067
2400,4377,0.488435,0.451692,3.2099
2480,4531,0.562153,0.197402,3.3247
2560,4687,0.726687,0.266780,3.2628
2640,4836,0.722818,0.381506,3.4631
2720,4994,0.717973,0.011175,3.2089
2800,5154,0.868632,0.346182,3.1938
2880,5315,0.849815,0.126006,3.1925
2960,5470,0.786906,0.249632,3.3161
3040,5623,0.763419,0.289355,3.3399
3120,5781,0.949689,0.343309,3.2405
3200,5941,0.769941,0.194176,3.1938
3280,6099,0.783405,0.226909,3.2278
3360,6264,0.913898,0.206463,3.1515
3440,6426,1.084936,0.442850,3.1420
3520,6588,0.768092,0.249957,3.1420
3600,6748,1.123974,0.172204,3.2188
3680,6911,0.784536,0.527498,3.1104
3760,7071,1.033110,0.371795,3.1875
3840,7228,1.080608,0.281307,3.2548
3920,7386,1.090925,0.308388,3.2405
4000,7548,1.441713,0.435255,3.1790
4080,7713,1.261836,0.194123,3.1152
4160,7879,1.058587,0.280254,3.0904
4240,8042,1.263267,0.283677,3.1472
4320,8205,1.347271,0.314230,3.1411
4400,8368,1.212699,0.122185,3.1166
4480,8531,1.360131,0.384633,3.1779
4560,8689,1.276375,0.378840,3.2342
4640,8853,1.123283,0.349051,3.0732
4720,9012,1.248243,0.320565,3.2453
4800,9168,1.394800,0.298028,3.2564
4880,9330,1.323431,0.426707,3.2037
4960,9486,1.216395,0.593893,3.2949
5040,9642,1.390619,0.237605,3.2628
5120,9803,1.583042,0.602580,3.1801
5200,9961,1.444451,0.119143,3.2342
5280,10114,1.492643,0.186778,3.3333
5360,10266,1.624253,0.442403,3.3421
5440,10420,1.398613,0.203555,3.3571
5520,10574,1.386257,0.089398,3.3312
5600,10735,1.686501,0.359655,3.1925
5680,10899,1.628752,0.233597,3.1463
5760,11055,1.443405,0.545401,3.2564
5840,11212,1.507033,0.453001,3.2293
5920,11364,1.391703,0.293301,3.3553
6000,11515,1.534257,0.434125,3.4238
6080,11669,1.666942,0.369153,3.2727
6160,11823,1.685366,0.297776,3.3701
6240,11975,1.617962,0.316474,3.3947
6320,12138,1.571614,0.306804,3.1472
6400,12290,1.862846,0.485843,3.3355
6480,12447,1.665872,0.249423,3.2866
6560,12599,1.690756,0.495743,3.3355
6640,12751,1.763836,0.152251,3.4013
6720,12915,1.693611,0.575007,3.1037
6800,13066,1.724782,0.208150,3.3709
6880,13219,1.775150,0.632913,3.3529
6960,13372,1.516587,0.261741,3.3203
7040,13534,1.859782,0.388483,3.1852
7120,13687,1.693480,0.204129,3.3725
7200,13841,1.766433,0.297570,3.2922
7280,14000,1.903468,0.594164,3.2579
7360,14158,1.744838,0.394108,3.2405
7440,14312,1.847472,0.413365,3.2987
7520,14471,1.955893,0.456873,3.2390
7600,14628,1.750917,0.261982,3.2611
7680,14784,1.877071,0.369591,3.2564
7760,14934,1.769183,0.689138,3.3733
7840,15090,1.833427,0.389302,3.3397
