episode_id,function_id,seed,step_idx,tau,budget_used_before,budget_remaining_frac_before,strategy,F,CR,budget_frac_action,sampling_box_action,box_width_frac_initial,box_width_frac_final,box_at_floor,incumbent_in_box,n_stag_before,n_stag_after,segment_best_error,global_best_error_before,global_best_error_after,reward,done
0,11,900000,1,0.9333333333333333,140,0.9533333333333334,current-to-best/1/bin,0.5,0.9,0.05,4,0.29510757327079773,0.2460181713104248,False,True,0,0,24.220794677734375,39.87847900390625,24.220794677734375,-24.220794677734375,False
0,11,900000,2,0.9333333333333333,280,0.9066666666666666,current-to-best/1/bin,0.5,0.9,0.05,4,0.12300907075405121,0.09966785460710526,False,True,0,1,27.276580810546875,24.220794677734375,24.220794677734375,0.0,False
0,11,900000,3,0.9333333333333333,420,0.86,current-to-best/1/bin,0.5,0.9,0.05,4,0.05647951364517212,0.020894574001431465,True,False,1,0,16.7584228515625,24.220794677734375,16.7584228515625,7.462371826171875,False
0,11,900000,4,0.9333333333333333,560,0.8133333333333334,current-to-best/1/bin,0.5,0.9,0.05,4,0.041700009256601334,0.012540234252810478,True,True,0,0,15.588409423828125,16.7584228515625,15.588409423828125,1.170013427734375,False
0,11,900000,5,2.0,700,0.7666666666666667,rand/2/bin,0.5,0.9,0.1,3,0.041700005531311035,0.035583313554525375,True,True,0,1,16.442230224609375,15.588409423828125,15.588409423828125,0.0,False
0,11,900000,6,0.9333333333333333,1000,0.6666666666666666,current-to-best/1/bin,0.5,0.9,0.05,4,0.04413419961929321,0.021923374384641647,True,False,1,2,16.024871826171875,15.588409423828125,15.588409423828125,0.0,False
0,11,900000,7,0.9333333333333333,1140,0.62,current-to-best/1/bin,0.5,0.9,0.05,4,0.04169999808073044,0.010437661781907082,True,False,2,0,14.2393798828125,15.588409423828125,14.2393798828125,1.349029541015625,False
0,11,900000,8,2.0,1280,0.5733333333333334,rand/2/bin,0.5,0.9,0.1,3,0.04170000180602074,0.03852482885122299,True,True,0,1,17.081634521484375,14.2393798828125,14.2393798828125,0.0,False
0,11,900000,9,0.9333333333333333,1580,0.47333333333333333,current-to-best/1/bin,0.5,0.9,0.05,4,0.042859919369220734,0.021978992968797684,True,True,1,2,16.2869873046875,14.2393798828125,14.2393798828125,0.0,False
0,11,900000,10,0.9333333333333333,1720,0.4266666666666667,current-to-best/1/bin,0.5,0.9,0.05,4,0.041700005531311035,0.01859569177031517,True,True,2,3,15.128753662109375,14.2393798828125,14.2393798828125,0.0,False
0,11,900000,11,0.9333333333333333,1860,0.38,current-to-best/1/bin,0.5,0.9,0.05,4,0.04170000180602074,0.01565592922270298,True,True,3,4,14.471893310546875,14.2393798828125,14.2393798828125,0.0,False
0,11,900000,12,2.0,2000,0.3333333333333333,rand/2/bin,0.5,0.9,0.1,3,0.04169999808073044,0.03940135985612869,True,True,4,5,14.486083984375,14.2393798828125,14.2393798828125,0.0,False
0,11,900000,13,2.0,2300,0.23333333333333334,rand/2/bin,0.5,0.9,0.1,3,0.04315229505300522,0.05079600214958191,True,True,5,6,18.055999755859375,14.2393798828125,14.2393798828125,0.0,False
0,11,900000,14,0.9333333333333333,2600,0.13333333333333333,current-to-best/1/bin,0.5,0.9,0.05,4,0.044528018683195114,0.012907439842820168,True,False,6,7,15.55291748046875,14.2393798828125,14.2393798828125,0.0,False
