training_step,episode,mean_return,mean_loss,mean_episode_length
80,218,-1.836584,0.057962,2.3028
160,435,-1.821769,0.023311,2.3779
240,649,-1.768091,-0.090381,2.3925
320,862,-1.744415,-0.066095,2.4131
400,1074,-1.668254,-0.075696,2.3868
480,1283,-1.653497,-0.248623,2.4641
560,1493,-1.601117,-0.307002,2.4476
640,1705,-1.551673,-0.057158,2.4151
720,1918,-1.559950,-0.064167,2.4131
800,2126,-1.529699,-0.020243,2.4423
880,2330,-1.511537,-0.200259,2.5098
960,2543,-1.518283,-0.222033,2.4178
1040,2760,-1.505925,-0.092280,2.3548
1120,2980,-1.505076,-0.039152,2.3455
1200,3196,-1.499296,-0.083587,2.3472
1280,3419,-1.499963,-0.201356,2.2960
1360,3641,-1.497423,0.047662,2.3063
1440,3865,-1.494099,-0.228017,2.3036
1520,4087,-1.494792,-0.124618,2.2883
1600,4314,-1.493108,-0.147390,2.2643
1680,4544,-1.493455,-0.182582,2.2217
1760,4766,-1.491496,0.192146,2.3063
1840,4983,-1.491621,0.173033,2.3641
1920,5200,-1.492303,-0.118588,2.3641
2000,5419,-1.491238,-0.259760,2.3379
2080,5636,-1.491408,0.095242,2.3410
2160,5850,-1.445257,0.067445,2.3925
2240,6076,-1.490636,0.130767,2.2699
2320,6300,-1.490131,0.044520,2.2857
2400,6523,-1.490254,0.177791,2.3139
2480,6734,-1.484469,0.024081,2.4028
2560,6960,-1.490636,0.007576,2.2611
2640,7185,-1.490084,-0.062560,2.2844
2720,7412,-1.490159,-0.098769,2.2555
2800,7646,-1.487349,-0.050308,2.1923
2880,7875,-1.487828,-0.091054,2.2271
2960,8104,-1.488226,0.043859,2.2489
3040,8330,-1.487528,0.038735,2.2566
3120,8566,-1.486832,0.031747,2.1907
3200,8794,-1.445949,0.063953,2.2368
3280,9021,-1.486450,-0.117017,2.2203
3360,9253,-1.485821,-0.041726,2.2328
3440,9483,-1.486229,0.027814,2.2261
3520,9715,-1.486672,-0.020082,2.2026
3600,9955,-1.485861,0.106152,2.1417
3680,10183,-1.485983,-0.232243,2.2500
3760,10417,-1.485583,-0.397853,2.1923
3840,10648,-1.486136,0.074112,2.2078
3920,10881,-1.486599,0.037804,2.1888
4000,11112,-1.471067,0.050245,2.2208
4080,11342,-1.460586,-0.161805,2.2217
4160,11572,-1.486258,-0.009003,2.2348
4240,11805,-1.485144,0.027457,2.2017
4320,12042,-1.484968,-0.118367,2.1561
4400,12271,-1.484435,-0.254122,2.2271
4480,12500,-1.484646,-0.059616,2.2402
4560,12730,-1.483769,0.065756,2.2217
4640,12963,-1.484246,-0.040259,2.1974
4720,13197,-1.484550,0.063149,2.2051
4800,13427,-1.484907,-0.219225,2.2000
4880,13653,-1.484101,-0.106550,2.2832
4960,13877,-1.484423,0.135633,2.2768
5040,14099,-1.484439,-0.218084,2.3063
5120,14328,-1.484284,0.204340,2.2358
5200,14561,-1.483876,-0.024342,2.2060
5280,14790,-1.484070,-0.014159,2.2271
5360,15017,-1.483826,-0.093655,2.2819
