training_step,episode,mean_return,mean_loss,mean_episode_length
80,155,-1.240870,0.293880,3.2516
160,306,-0.966483,0.369664,3.3841
240,459,-0.698657,2.796232,3.3660
320,604,-0.524831,0.785408,3.5103
400,757,0.077725,1.883980,3.3464
480,902,0.856191,1.865458,3.5586
560,1051,1.236897,3.259395,3.4228
640,1195,1.200702,2.179334,3.5278
720,1340,2.430507,2.745214,3.4828
800,1491,2.834258,1.893190,3.4636
880,1640,3.184582,2.194593,3.4228
960,1789,3.374884,3.066801,3.4228
1040,1934,4.340224,1.881840,3.5379
1120,2081,4.834276,2.363820,3.5170
1200,2230,5.274789,2.702694,3.4161
1280,2379,5.189193,2.419131,3.4295
1360,2529,5.211394,1.498435,3.4000
1440,2675,5.553182,1.157252,3.5000
1520,2824,5.998750,2.207467,3.4161
1600,2974,5.969624,1.215825,3.4333
1680,3127,6.344173,0.478116,3.3203
1760,3280,6.809843,0.714832,3.3987
1840,3429,6.821882,0.774840,3.4362
1920,3580,6.339315,1.854675,3.4106
2000,3732,7.224159,0.654961,3.3355
2080,3885,6.956217,0.794380,3.3399
2160,4039,7.207862,0.265576,3.3571
2240,4188,7.367005,0.617402,3.3826
2320,4349,7.558746,0.056877,3.2174
2400,4507,7.626850,0.381814,3.2089
2480,4663,7.486380,0.465358,3.3013
2560,4820,7.607664,0.975478,3.2548
2640,4975,7.678121,0.495777,3.2968
2720,5144,7.626994,1.366982,3.0355
2800,5302,7.630373,0.020618,3.2342
2880,5465,7.788666,0.762786,3.1779
2960,5625,7.729390,0.685062,3.1313
3040,5791,7.462129,1.966804,3.1325
3120,5957,7.581338,0.104781,3.0663
3200,6122,7.542364,0.759830,3.1455
3280,6284,7.602496,0.438499,3.1481
3360,6448,7.761364,1.102514,3.1159
3440,6604,7.830451,-0.055818,3.3013
3520,6763,7.726580,0.472575,3.1950
3600,6930,7.753334,-0.015608,3.0898
3680,7089,7.685429,-0.131108,3.2075
3760,7253,7.865939,-0.020902,3.0854
3840,7421,7.618852,0.064093,3.0298
3920,7588,7.766703,-0.081027,3.0838
4000,7751,7.690222,1.097702,3.1534
4080,7914,7.707936,1.548630,3.1411
4160,8082,7.716325,1.079742,3.0714
4240,8248,7.682677,1.400863,3.0783
4320,8412,7.737516,0.209902,3.0915
4400,8573,7.802436,0.562685,3.2112
4480,8735,7.956979,0.059287,3.1605
4560,8903,7.883621,-0.031014,3.0476
4640,9071,7.847918,-0.075712,3.0417
4720,9236,7.778146,-0.070998,3.1091
4800,9401,7.746446,0.181200,3.0667
4880,9571,7.789145,-0.056700,3.0412
4960,9738,7.815242,-0.031885,3.0539
5040,9903,7.881938,-0.011329,3.1394
5120,10071,7.737644,-0.052751,3.0238
5200,10239,7.646372,0.484444,3.0714
5280,10406,7.665651,0.575789,3.0419
5360,10569,7.893108,-0.118727,3.1411
5440,10732,7.855417,-0.020557,3.1288
5520,10895,7.901471,-0.072588,3.1104
5600,11061,7.751848,-0.100362,3.1145
5680,11227,7.951820,0.702251,3.0904
5760,11396,7.911437,0.803021,3.0473
5840,11564,7.863304,-0.110525,3.0417
5920,11736,7.743965,1.209456,2.9826
6000,11911,7.756045,-0.009995,2.9143
6080,12079,7.797493,-0.027766,3.0238
6160,12247,7.959556,-0.047494,3.0714
6240,12414,7.979134,-0.018803,3.0778
6320,12585,7.882559,0.010537,2.9591
6400,12756,7.900383,0.570207,2.9942
6480,12931,7.903144,-0.077698,2.9429
6560,13108,7.951413,-0.017305,2.9096
6640,13284,7.664529,0.628497,2.9034
6720,13448,7.857509,0.137782,3.1159
6800,13622,7.766718,0.509061,2.9483
6880,13791,7.979381,0.059344,3.0000
6960,13969,7.687875,0.469210,2.8708
7040,14143,7.906341,-0.049172,2.9483
7120,14313,7.650180,-0.118451,3.0412
7200,14482,8.000000,-0.079833,3.0059
7280,14657,7.856033,-0.058296,2.9429
7360,14829,7.954957,0.492194,2.9767
7440,15009,7.839095,0.458267,2.8611
