training_step,episode,mean_return,mean_loss,mean_episode_length
80,143,-1.075255,0.400873,3.5315
160,281,-0.452389,1.481147,3.6667
240,432,-0.710957,1.420104,3.4040
320,579,-0.015038,2.589451,3.4694
400,721,0.407067,0.720913,3.6268
480,863,0.932065,1.168326,3.5986
560,1011,1.415315,2.000637,3.4797
640,1155,2.647064,2.765117,3.5556
720,1295,2.559648,2.515783,3.6071
800,1443,3.280996,2.581743,3.5338
880,1586,4.181939,2.974886,3.5105
960,1730,4.522556,1.917404,3.6250
1040,1872,5.352033,2.743919,3.5141
1120,2019,5.671322,1.624891,3.5442
1200,2163,6.058417,1.303152,3.5486
1280,2306,5.885454,2.898154,3.5524
1360,2454,6.338633,0.966681,3.4189
1440,2606,6.227742,1.106209,3.4342
1520,2753,6.734545,2.075435,3.4422
1600,2895,6.736100,1.914021,3.6127
1680,3037,6.977955,0.705658,3.6549
1760,3179,7.138253,0.675288,3.5634
1840,3323,6.980306,0.115870,3.5347
1920,3467,6.956133,1.017807,3.6250
2000,3609,7.147559,0.678401,3.5845
2080,3756,7.137493,0.915370,3.4966
2160,3907,7.161038,0.991633,3.3841
2240,4050,7.251841,0.673933,3.5455
2320,4194,7.610732,0.085859,3.5556
2400,4340,7.480381,0.384892,3.4863
2480,4496,7.486724,0.780310,3.3397
2560,4644,7.426415,0.913817,3.4392
2640,4794,7.559047,0.539084,3.4200
2720,4947,7.588204,0.078052,3.3137
2800,5101,7.668538,-0.060015,3.3701
2880,5253,7.702150,0.560431,3.3289
2960,5410,7.764944,-0.022806,3.3057
3040,5557,7.619663,-0.068058,3.4014
3120,5714,7.721978,0.558851,3.3121
3200,5873,7.671875,-0.083342,3.2453
3280,6025,7.602813,0.909490,3.3421
3360,6182,7.472021,0.844877,3.2803
3440,6339,7.630442,1.082940,3.2229
3520,6495,7.549366,1.638164,3.3013
3600,6652,7.797079,0.136760,3.2803
3680,6808,7.827676,0.207980,3.2756
3760,6967,7.685429,0.040861,3.2201
3840,7118,7.542891,1.604814,3.3841
3920,7269,7.659129,1.219616,3.3709
4000,7424,7.826416,1.006044,3.2774
4080,7586,7.459886,0.472152,3.1852
4160,7740,7.639232,0.498047,3.3636
4240,7896,7.609106,0.033131,3.2628
4320,8054,7.621886,0.497585,3.2405
4400,8210,7.640760,-0.003572,3.2756
4480,8369,7.569456,0.143561,3.2013
4560,8526,7.805500,-0.077101,3.2675
4640,8678,7.661985,0.587349,3.3816
4720,8831,7.856624,-0.039500,3.3268
4800,8987,7.746733,0.487542,3.3077
4880,9142,7.829357,0.558950,3.2710
4960,9296,7.898901,0.108025,3.3831
5040,9453,7.655408,0.581655,3.2548
5120,9610,7.856457,0.060868,3.2484
5200,9769,7.824181,0.106368,3.2264
5280,9932,7.852801,1.244515,3.1411
5360,10091,7.923996,0.054771,3.2138
