training_step,elapsed_seconds,mean_return,std_return,mean_loss,mean_eval_fitness,std_eval_fitness,mean_episode_length
2000,10072.85,-3.719375,0.133135,-0.068350,3.238636e+03,1.074098e+03,3.7451
4000,17250.97,-3.477251,0.151843,-0.120618,1.871647e+03,5.947865e+02,5.2959
6000,22208.79,-3.330233,0.144226,-0.037172,1.664192e+03,6.136449e+02,6.7030
8000,26451.24,-3.265579,0.159371,-0.045245,1.432305e+03,3.655947e+02,7.2309
10000,30234.03,-3.178810,0.175439,-0.092307,7.535748e+02,3.247453e+02,7.8689
12000,33215.80,-3.082709,0.195554,-0.065842,6.785563e+02,2.664407e+02,9.1785
14000,35963.05,-3.033892,0.202894,-0.012347,5.735718e+02,2.106079e+02,10.3153
16000,38506.89,-2.974779,0.209119,-0.007006,5.719976e+02,2.131787e+02,10.8534
16160,39135.05,-2.951865,0.202845,-0.012812,4.881425e+02,5.704654e+01,10.8085
