training_step,episode,mean_return,mean_loss,mean_episode_length
80,159,-2.115802,-0.266586,3.1447
160,316,-2.088400,-0.007185,3.2803
240,467,-2.091303,-0.199616,3.3775
320,618,-2.046479,-0.077406,3.3841
400,774,-2.052026,-0.057379,3.2628
480,929,-2.013922,-0.116594,3.3484
560,1084,-1.985439,0.060274,3.2710
640,1239,-1.947515,0.066907,3.2903
720,1396,-1.955988,-0.089367,3.2994
800,1554,-1.927074,-0.050570,3.2342
880,1703,-1.852373,0.049010,3.4027
960,1862,-1.831811,-0.120414,3.2704
1040,2011,-1.836068,-0.086251,3.4228
1120,2160,-1.822977,-0.152235,3.4430
1200,2306,-1.765859,-0.126340,3.4658
1280,2461,-1.742256,0.036013,3.3161
1360,2604,-1.698933,-0.110930,3.6084
1440,2746,-1.724772,-0.059020,3.5915
1520,2893,-1.735049,-0.048460,3.4626
1600,3040,-1.651495,0.069365,3.5034
1680,3185,-1.604338,-0.007173,3.5034
1760,3323,-1.546122,0.049550,3.7246
1840,3451,-1.483653,-0.293004,3.9609
1920,3586,-1.510467,-0.017293,3.8074
2000,3713,-1.466947,-0.171933,4.0551
2080,3845,-1.453138,0.058267,3.8712
2160,3967,-1.432449,-0.064844,4.1721
2240,4096,-1.409809,-0.146973,4.0155
2320,4213,-1.368575,0.036855,4.3419
2400,4334,-1.378353,-0.101111,4.2479
2480,4450,-1.347088,-0.183511,4.3362
2560,4568,-1.338400,-0.024770,4.3729
2640,4685,-1.303754,-0.044628,4.4530
2720,4795,-1.298171,-0.050449,4.5909
2800,4909,-1.292357,0.035198,4.5263
2880,5021,-1.298292,-0.068058,4.5536
2960,5126,-1.280056,0.013872,4.8190
3040,5240,-1.291720,-0.054097,4.6053
3120,5344,-1.261376,-0.038961,4.7885
3200,5453,-1.262354,-0.060297,4.6606
3280,5567,-1.260622,0.214696,4.5965
3360,5677,-1.258262,-0.095635,4.5727
3440,5784,-1.218673,0.143572,4.8598
3520,5891,-1.276332,-0.180242,4.8131
3600,5994,-1.212888,-0.090486,4.8447
3680,6100,-1.245760,-0.061629,4.9245
3760,6207,-1.240565,0.221431,4.6822
3840,6316,-1.220888,0.039460,4.7890
3920,6424,-1.229364,0.239605,4.6852
4000,6537,-1.222880,-0.082395,4.5752
4080,6648,-1.234974,-0.078617,4.6667
4160,6754,-1.250933,-0.065116,4.7736
4240,6861,-1.212260,-0.076273,4.7664
4320,6967,-1.202704,0.136063,4.8302
4400,7073,-1.215792,0.100650,4.8208
4480,7170,-1.229988,-0.078659,5.2062
4560,7274,-1.237500,0.064053,5.0385
4640,7378,-1.204070,-0.133765,4.8942
4720,7480,-1.236431,0.088577,5.0098
4800,7582,-1.216213,-0.097397,4.9902
4880,7687,-1.233025,0.090112,4.9524
4960,7790,-1.231037,0.012580,4.9417
5040,7891,-1.201358,-0.139281,5.0396
5120,7995,-1.213194,-0.111531,4.9135
5200,8100,-1.169003,-0.018759,4.9429
5280,8200,-1.213971,-0.152992,5.1300
5360,8305,-1.211993,-0.176317,4.9238
5440,8409,-1.222453,-0.239712,4.8750
5520,8513,-1.222081,-0.190347,4.9038
5600,8615,-1.219895,-0.297340,5.0000
5680,8718,-1.242220,-0.062351,4.9515
5760,8820,-1.208813,-0.121901,5.1176
5840,8925,-1.207221,0.080205,4.7905
5920,9032,-1.194952,0.018441,4.8411
6000,9135,-1.204359,-0.122912,4.9709
6080,9240,-1.182682,0.013138,4.8571
6160,9341,-1.202600,0.150702,5.0000
6240,9445,-1.182413,0.247832,4.9615
6320,9551,-1.188120,0.018965,4.8302
6400,9655,-1.203926,0.022834,4.9615
6480,9751,-1.184887,-0.202304,5.2396
6560,9855,-1.187242,-0.138881,4.8846
6640,9957,-1.181759,-0.048169,5.0392
6720,10059,-1.153324,-0.043417,5.0294
