training_step,episode,mean_return,mean_loss,mean_episode_length
80,155,-3.814224,0.149264,3.2323
160,310,-3.803717,0.254165,3.2968
240,472,-3.809472,0.102091,3.1605
320,625,-3.793933,-0.129623,3.3464
400,781,-3.789753,0.016465,3.2628
480,940,-3.806194,0.020725,3.2642
560,1102,-3.793226,-0.016442,3.1481
640,1268,-3.776977,-0.295262,3.1145
720,1429,-3.750961,-0.189829,3.1739
800,1593,-3.766222,0.127562,3.0915
880,1756,-3.746825,-0.084671,3.1411
960,1914,-3.717674,-0.228400,3.2468
1040,2081,-3.706006,0.184275,3.0719
1120,2236,-3.688916,-0.040168,3.2710
1200,2388,-3.651350,-0.071687,3.4211
1280,2547,-3.658767,-0.160651,3.1635
1360,2706,-3.619828,-0.115866,3.2327
1440,2863,-3.612413,-0.266690,3.2803
1520,3019,-3.621730,-0.098280,3.2564
1600,3175,-3.582005,-0.147680,3.3013
1680,3337,-3.614829,-0.093109,3.1543
1760,3495,-3.590009,-0.127338,3.2658
1840,3650,-3.614346,-0.050238,3.2645
1920,3801,-3.574525,0.145797,3.4702
2000,3950,-3.578815,-0.070386,3.3893
2080,4106,-3.563943,-0.066476,3.2821
2160,4261,-3.560921,-0.164251,3.2968
2240,4411,-3.542656,-0.221638,3.4067
2320,4560,-3.542350,-0.014622,3.4497
2400,4702,-3.549344,-0.060760,3.5775
2480,4846,-3.543216,0.000458,3.5556
2560,4993,-3.528582,-0.034932,3.5306
2640,5131,-3.514786,0.155759,3.6667
2720,5271,-3.535830,0.016272,3.6571
2800,5408,-3.534860,-0.118315,3.7372
2880,5548,-3.521412,0.130559,3.6500
2960,5689,-3.519123,-0.013511,3.6383
3040,5818,-3.492610,-0.024606,3.9922
3120,5959,-3.499333,-0.145773,3.6525
3200,6096,-3.489283,-0.073977,3.6642
3280,6240,-3.496758,-0.060317,3.5694
3360,6382,-3.497069,-0.033918,3.6408
3440,6519,-3.495584,0.033057,3.7007
3520,6647,-3.477912,-0.069024,4.0469
3600,6779,-3.485608,0.030172,3.8409
3680,6912,-3.482945,-0.014866,3.8647
3760,7041,-3.475359,0.072776,3.9302
3840,7168,-3.465331,-0.070651,4.0866
3920,7292,-3.469150,-0.096035,4.0968
4000,7416,-3.456479,-0.038856,4.1129
4080,7537,-3.464494,-0.040936,4.2479
4160,7657,-3.455544,0.083487,4.2667
4240,7785,-3.432440,-0.035675,4.0000
4320,7906,-3.437526,-0.073832,4.2645
4400,8028,-3.448000,-0.003083,4.1557
4480,8154,-3.442791,0.050925,4.0476
4560,8284,-3.450540,-0.185587,4.0000
4640,8409,-3.453660,0.052623,4.0400
4720,8532,-3.408001,-0.108105,4.2114
4800,8649,-3.422303,0.007606,4.2991
4880,8767,-3.408121,-0.195395,4.3051
4960,8889,-3.420712,-0.242770,4.2623
5040,9004,-3.416833,-0.016453,4.4783
5120,9113,-3.409966,0.095077,4.6697
5200,9225,-3.384049,-0.154100,4.5536
5280,9337,-3.420722,-0.080081,4.6161
5360,9447,-3.397528,0.074107,4.6182
5440,9564,-3.400264,0.053321,4.4017
5520,9670,-3.394784,-0.018816,4.7642
5600,9781,-3.417197,-0.054116,4.6216
5680,9888,-3.390287,0.024878,4.7757
5760,9995,-3.353217,-0.190458,4.8692
5840,10102,-3.388491,-0.057849,4.7757
5920,10202,-3.373324,-0.176142,5.0300
6000,10309,-3.380645,-0.186571,4.8505
6080,10413,-3.378886,-0.170171,4.8846
6160,10514,-3.365914,0.140195,5.0198
6240,10621,-3.383602,-0.033935,4.8692
6320,10722,-3.356316,-0.054028,5.0396
6400,10818,-3.362124,-0.063725,5.3854
6480,10914,-3.312513,0.048142,5.2917
6560,11011,-3.346012,-0.039276,5.2784
