training_step,episode,mean_return,mean_loss,mean_episode_length
80,233,-6.626707,1.280149,2.1760
160,465,-6.572263,0.470007,2.2026
240,702,-6.543959,0.009545,2.1646
320,942,-6.488776,0.222890,2.1333
400,1184,-6.420311,0.228507,2.1198
480,1420,-6.273839,0.108723,2.1653
560,1659,-6.224434,0.063935,2.1464
640,1897,-6.136402,0.164684,2.1513
720,2133,-6.069036,0.083123,2.1780
800,2369,-5.978555,0.074064,2.1695
880,2596,-5.726230,0.233544,2.2379
960,2825,-5.834624,0.178007,2.2402
1040,3049,-5.722106,0.051442,2.2812
1120,3279,-5.509693,0.203335,2.2348
1200,3503,-5.484239,0.276733,2.2902
1280,3727,-5.342499,0.054034,2.2812
1360,3944,-5.165326,0.305687,2.3456
1440,4169,-5.107524,0.101728,2.2933
1520,4384,-4.964815,0.167556,2.3442
1600,4598,-4.935728,-0.041370,2.3972
1680,4815,-4.826742,0.073897,2.3779
1760,5031,-4.893376,0.012158,2.3704
1840,5248,-4.719282,-0.105681,2.3641
1920,5470,-4.690791,0.101077,2.2973
2000,5693,-4.599110,0.032765,2.3094
2080,5919,-4.662962,0.134849,2.2655
2160,6144,-4.546515,0.181973,2.2711
2240,6365,-4.568868,0.150548,2.3122
2320,6592,-4.492963,0.095768,2.2555
2400,6822,-4.532828,-0.008592,2.2478
2480,7052,-4.492262,0.006214,2.2000
2560,7280,-4.510640,0.129705,2.2544
2640,7515,-4.466780,0.003444,2.1702
2720,7747,-4.424216,0.126495,2.2155
2800,7974,-4.382749,0.195824,2.2511
2880,8211,-4.445617,0.147130,2.1646
2960,8445,-4.405665,0.169001,2.1966
3040,8689,-4.323861,-0.004909,2.0902
3120,8926,-4.389050,0.191433,2.1477
3200,9168,-4.389795,-0.005757,2.1281
3280,9404,-4.370916,0.000987,2.1695
3360,9645,-4.342188,-0.181293,2.1286
3440,9889,-4.314488,0.089238,2.1025
3520,10129,-4.322338,0.152378,2.1375
3600,10365,-4.290019,0.038742,2.1525
3680,10607,-4.258874,0.029644,2.1281
3760,10846,-4.289425,0.208501,2.1297
3840,11088,-4.289558,0.124687,2.1198
3920,11324,-4.315603,0.005664,2.1610
4000,11565,-4.279619,0.101740,2.1328
4080,11802,-4.230423,-0.128680,2.1603
4160,12046,-4.280845,0.065797,2.1025
4240,12284,-4.275222,-0.092863,2.1429
4320,12532,-4.283100,-0.121266,2.0726
4400,12773,-4.258542,0.021567,2.1286
4480,13015,-4.259688,0.171249,2.1074
4560,13259,-4.254337,-0.023714,2.1025
4640,13496,-4.272232,-0.052795,2.1519
4720,13736,-4.243142,0.117811,2.1500
4800,13977,-4.220990,0.036902,2.1079
4880,14210,-4.269925,0.053169,2.1845
4960,14453,-4.255088,0.118518,2.1276
5040,14694,-4.203336,-0.198071,2.1079
5120,14939,-4.200496,-0.055155,2.1020
5200,15177,-4.220431,-0.051045,2.1555
