training_step,episode,mean_return,mean_loss,mean_episode_length
80,129,-3.282093,0.173425,3.8992
160,268,-3.298568,0.423237,3.6691
240,402,-3.287012,-0.024179,3.8134
320,540,-3.218948,0.129828,3.6594
400,685,-3.177953,0.040444,3.5655
480,828,-3.133191,0.123644,3.6084
560,961,-3.125847,0.103245,3.8045
640,1098,-3.070884,-0.085068,3.7299
720,1231,-3.047425,0.044493,3.8797
800,1369,-2.990321,0.024333,3.7464
880,1509,-3.016284,-0.287591,3.6357
960,1644,-2.841484,0.090961,3.7704
1040,1795,-2.808272,-0.004542,3.4040
1120,1943,-2.822817,-0.012754,3.4797
1200,2081,-2.656187,0.040607,3.6957
1280,2223,-2.598463,-0.193594,3.6127
1360,2357,-2.626513,0.067598,3.8582
1440,2498,-2.524847,0.060223,3.5816
1520,2635,-2.459823,-0.117426,3.7445
1600,2773,-2.381507,-0.072620,3.6739
1680,2918,-2.406102,-0.269521,3.5586
1760,3063,-2.300043,0.146721,3.5241
1840,3207,-2.292012,0.021797,3.5486
1920,3364,-2.263508,-0.085907,3.2994
2000,3509,-2.210495,-0.117709,3.4828
2080,3659,-2.146798,0.101067,3.4067
2160,3808,-2.157068,-0.131432,3.4765
2240,3952,-2.032560,0.157558,3.5486
2320,4097,-2.095914,0.050448,3.4828
2400,4247,-2.030924,0.114393,3.4333
2480,4403,-1.981989,-0.190047,3.3205
2560,4544,-1.988399,-0.198840,3.5603
2640,4698,-1.987184,0.022431,3.3961
2720,4851,-1.956263,0.004342,3.3203
2800,5006,-1.999753,0.132667,3.3161
2880,5159,-1.916023,-0.189677,3.3529
2960,5312,-1.894208,-0.106968,3.3464
3040,5465,-1.885214,0.029015,3.3464
3120,5625,-1.882673,-0.087365,3.2062
3200,5785,-1.811284,-0.015351,3.2062
3280,5945,-1.835043,0.021680,3.1875
3360,6100,-1.719258,0.094012,3.3161
3440,6265,-1.795870,0.255789,3.1212
3520,6424,-1.775364,-0.203474,3.1761
3600,6588,-1.805859,-0.132629,3.1402
3680,6756,-1.776602,0.158692,3.0357
3760,6921,-1.796099,-0.113936,3.1091
3840,7092,-1.711407,-0.094140,2.9942
3920,7256,-1.683982,0.064676,3.1037
4000,7427,-1.675615,0.385287,3.0409
4080,7597,-1.799574,-0.073655,2.9706
4160,7767,-1.703352,0.100840,3.0294
4240,7946,-1.651617,0.036673,2.8547
4320,8119,-1.744198,0.201455,2.9827
4400,8295,-1.755888,0.134085,2.8977
4480,8470,-1.726909,0.104997,2.8800
4560,8646,-1.630796,0.115215,2.9375
4640,8821,-1.653802,0.060362,2.9543
4720,8990,-1.667507,-0.070398,3.0178
4800,9162,-1.632374,-0.094953,2.9826
4880,9332,-1.652316,-0.038737,2.9824
4960,9509,-1.568863,0.030256,2.9209
5040,9685,-1.583958,-0.088800,2.8920
5120,9864,-1.556884,0.252153,2.8547
5200,10041,-1.560526,-0.051850,2.8983
