training_step,episode,mean_return,mean_loss,mean_episode_length
80,218,-1.127206,0.168189,2.3211
160,435,-0.967473,-0.226645,2.3502
240,648,-0.909808,0.002556,2.4085
320,858,-0.989827,-0.109609,2.4381
400,1068,-0.819457,0.142083,2.4429
480,1274,-0.732871,0.168158,2.5000
560,1478,-0.625446,0.164271,2.4853
640,1689,-0.462258,0.215703,2.4408
720,1901,-0.436187,0.144433,2.4198
800,2117,-0.330974,0.268523,2.3472
880,2336,-0.210486,-0.027939,2.3699
960,2550,-0.053550,0.061713,2.3832
1040,2766,0.042296,0.116800,2.3657
1120,2985,0.101787,0.274059,2.3242
1200,3208,0.180728,0.302676,2.3139
1280,3424,0.211766,0.100171,2.3704
1360,3653,0.380093,0.341395,2.2314
1440,3875,0.408780,0.261968,2.2928
1520,4105,0.433834,0.177347,2.2435
1600,4342,0.799520,0.330598,2.1646
1680,4571,0.684970,0.505513,2.2271
1760,4806,0.810761,0.317704,2.1830
1840,5039,0.858873,0.448179,2.1888
1920,5272,0.854652,0.412308,2.2017
2000,5504,0.911899,0.454454,2.2112
2080,5738,0.913149,0.458777,2.1795
2160,5968,0.940056,0.348524,2.2435
2240,6204,0.886512,0.561449,2.1610
2320,6442,1.108042,0.438038,2.1513
2400,6676,0.958263,0.402477,2.1838
2480,6909,1.092584,0.454605,2.2146
2560,7138,0.931952,0.578460,2.2140
2640,7360,1.138619,0.549153,2.3063
2720,7586,1.279564,0.539749,2.2743
2800,7818,1.307497,0.593264,2.1897
2880,8051,1.299179,0.363597,2.2275
2960,8267,1.351207,0.436485,2.3565
3040,8501,1.400845,0.482210,2.1966
3120,8719,1.356990,0.726454,2.3486
3200,8939,1.234669,0.397145,2.3091
3280,9160,1.233015,0.516294,2.3167
3360,9375,1.460965,0.636623,2.3860
3440,9588,1.174627,0.303499,2.4038
3520,9802,1.330736,0.543380,2.3972
3600,10011,1.375131,0.466273,2.4306
3680,10229,1.595525,0.779963,2.3670
3760,10436,1.294773,0.312443,2.4541
3840,10654,1.716907,0.592189,2.3440
3920,10870,1.406213,0.558393,2.3704
4000,11090,1.543636,0.455861,2.3500
4080,11304,1.454711,0.524636,2.3925
4160,11522,1.501938,0.569645,2.3349
4240,11742,1.452320,0.734690,2.3455
4320,11960,1.414353,0.768310,2.3349
4400,12175,1.563474,0.566200,2.3767
4480,12387,1.595343,0.543494,2.4151
4560,12596,1.535488,0.550538,2.4545
4640,12799,1.558590,0.600630,2.5271
4720,13008,1.559421,0.588864,2.4402
4800,13210,1.597684,0.389394,2.5545
4880,13407,1.527008,0.577632,2.5888
4960,13615,1.641007,0.742966,2.4615
5040,13820,1.611705,0.713638,2.5073
5120,14019,1.590217,0.550438,2.5678
5200,14222,1.698830,0.715922,2.5320
5280,14425,1.626821,0.562966,2.5172
5360,14621,1.613755,0.638765,2.5765
5440,14822,1.622996,0.357264,2.5572
5520,15015,1.693020,0.538861,2.6477
