training_step,elapsed_seconds,mean_return,std_return,mean_loss,mean_eval_fitness,std_eval_fitness,mean_episode_length
2000,9000.94,-0.228803,0.266509,0.016514,4.340836e-01,2.986609e-01,2.8855
4000,13198.00,0.241005,0.394156,0.019095,2.567688e-01,7.376339e-02,3.8369
6000,17460.52,0.554672,0.308382,0.020334,2.110992e-01,7.074556e-02,4.2215
8000,20866.27,0.711666,0.321837,0.021919,1.652374e-01,6.831556e-02,4.8005
10000,24250.75,0.813100,0.289844,0.022397,1.359192e-01,2.503227e-02,4.8450
12000,28239.55,0.838493,0.294459,0.023544,1.266022e-01,6.280254e-02,4.8995
14000,31808.46,0.890344,0.286547,0.024768,1.256622e-01,4.730002e-02,4.8499
16000,35711.86,0.878786,0.271694,0.025238,1.524017e-01,6.851805e-02,4.9236
18000,39042.12,0.883018,0.273361,0.025958,1.109024e-01,2.591126e-02,4.8261
20000,42410.26,0.901626,0.256400,0.026080,1.682648e-01,1.755156e-01,4.7667
22000,46227.24,0.915020,0.252050,0.026727,9.820557e-02,2.283968e-02,4.7123
24000,49687.09,0.904433,0.293476,0.027921,1.192001e-01,4.457742e-02,4.6535
26000,53486.88,0.917532,0.249564,0.028488,1.683990e-01,1.221455e-01,4.7217
28000,56845.65,0.940023,0.233658,0.027757,1.344009e-01,6.403126e-02,4.8145
30000,60798.67,0.927235,0.263352,0.027957,1.141724e-01,5.717606e-02,4.6620
32000,64288.84,0.926746,0.228739,0.028824,1.187820e-01,9.850175e-02,4.6659
34000,67726.97,0.929668,0.234569,0.028038,1.070450e-01,4.985603e-02,4.7193
36000,71611.62,0.953840,0.234690,0.028059,1.150803e-01,2.867583e-02,4.7804
38000,75305.69,0.959110,0.252512,0.028231,1.318146e-01,7.756214e-02,4.6682
40000,79432.01,0.940647,0.246137,0.027973,1.421219e-01,8.333510e-02,4.6334
42000,83153.82,0.951581,0.252016,0.029078,1.210678e-01,3.831801e-02,4.6259
43786,87035.86,0.943654,0.261105,0.029101,9.735565e-02,5.134559e-02,4.5780
