training_step,elapsed_seconds,mean_return,std_return,mean_loss,mean_eval_fitness,std_eval_fitness,mean_episode_length
2000,10083.23,-3.681579,0.163216,-0.052529,2.596321e+03,5.867894e+02,2.5846
4000,17947.00,-3.422642,0.153433,-0.044529,2.171026e+03,7.401374e+02,3.6747
6000,22785.56,-3.293203,0.141186,-0.019029,1.566255e+03,6.728720e+02,5.7010
8000,26706.57,-3.212670,0.152558,-0.019066,1.374164e+03,3.090765e+02,7.9975
10000,29941.83,-3.188452,0.153281,-0.083616,1.301642e+03,3.139674e+02,8.5909
11760,33353.57,-3.119514,0.163339,-0.070857,1.133013e+03,4.052112e+02,9.0969
