seed,function_id,best_error,evals_used
900000,2,2.036298e+06,300000
900001,2,8.661960e+06,300000
900002,2,1.523107e+06,300000
900003,2,3.570993e+05,300000
900004,2,4.077243e+06,300000
900005,2,1.302803e+06,300000
900006,2,8.890877e+05,300000
900007,2,1.537738e+06,300000
900008,2,1.674874e+06,300000
900009,2,3.869474e+06,300000
900010,2,8.065813e+06,300000
900011,2,1.235250e+06,300000
900012,2,1.142742e+06,300000
900013,2,2.438860e+06,300000
900014,2,3.496550e+05,300000
900015,2,2.572136e+06,300000
900016,2,3.238644e+06,300000
900017,2,2.613394e+06,300000
900018,2,8.199081e+05,300000
900019,2,9.812395e+05,300000
900020,2,7.907192e+06,300000
900021,2,1.491686e+07,300000
900022,2,8.360974e+06,300000
900023,2,1.532056e+06,300000
900024,2,4.564138e+06,300000
900025,2,1.380452e+06,300000
900026,2,6.977074e+05,300000
900027,2,1.166716e+06,300000
900028,2,1.911914e+06,300000
900029,2,7.751296e+05,300000
900030,2,6.733889e+05,300000
900031,2,3.102744e+06,300000
900032,2,3.725342e+06,300000
900033,2,9.482432e+06,300000
900034,2,4.554885e+06,300000
900035,2,1.906654e+06,300000
900036,2,1.464930e+06,300000
900037,2,7.876761e+05,300000
900038,2,4.466227e+06,300000
900039,2,9.814828e+05,300000
900040,2,4.433994e+05,300000
900041,2,2.768135e+06,300000
900042,2,1.123319e+07,300000
900043,2,9.630154e+05,300000
900044,2,1.332536e+06,300000
900045,2,2.047424e+06,300000
900046,2,2.720364e+05,300000
900047,2,2.828322e+06,300000
900048,2,6.052765e+05,300000
900049,2,3.531313e+06,300000
900050,2,1.951347e+06,300000
