seed,function_id,best_error,evals_used
900000,24,2.144640e+02,300000
900001,24,2.286521e+02,300000
900002,24,2.122191e+02,300000
900003,24,2.255897e+02,300000
900004,24,2.080597e+02,300000
900005,24,2.259078e+02,300000
900006,24,2.193092e+02,300000
900007,24,2.192831e+02,300000
900008,24,2.118698e+02,300000
900009,24,2.162013e+02,300000
900010,24,2.066250e+02,300000
900011,24,2.100504e+02,300000
900012,24,2.143270e+02,300000
900013,24,2.121465e+02,300000
900014,24,2.048224e+02,300000
900015,24,2.245475e+02,300000
900016,24,2.217015e+02,300000
900017,24,2.177498e+02,300000
900018,24,2.222260e+02,300000
900019,24,2.165255e+02,300000
900020,24,2.338765e+02,300000
900021,24,2.187502e+02,300000
900022,24,2.083815e+02,300000
900023,24,2.207729e+02,300000
900024,24,2.169763e+02,300000
900025,24,2.173915e+02,300000
900026,24,2.221431e+02,300000
900027,24,2.090254e+02,300000
900028,24,2.215204e+02,300000
900029,24,2.303040e+02,300000
900030,24,2.204668e+02,300000
900031,24,2.196378e+02,300000
900032,24,2.255963e+02,300000
900033,24,2.157104e+02,300000
900034,24,2.306571e+02,300000
900035,24,2.116516e+02,300000
900036,24,2.137435e+02,300000
900037,24,2.250004e+02,300000
900038,24,2.048317e+02,300000
900039,24,2.141151e+02,300000
900040,24,2.225936e+02,300000
900041,24,2.122891e+02,300000
900042,24,2.070911e+02,300000
900043,24,2.313374e+02,300000
900044,24,2.147661e+02,300000
900045,24,2.100948e+02,300000
900046,24,2.182274e+02,300000
900047,24,2.182501e+02,300000
900048,24,2.198394e+02,300000
900049,24,2.292998e+02,300000
900050,24,2.157620e+02,300000
