training_step,elapsed_seconds,mean_return,std_return,mean_loss,mean_eval_fitness,std_eval_fitness,mean_episode_length
2000,9285.88,-1.228838,0.460020,0.089370,1.298769e+01,7.338063e+00,2.6016
4000,14998.75,-1.006102,0.665114,0.112866,8.563770e+00,9.634484e+00,2.6398
6000,23288.14,-0.722292,0.837250,0.182679,1.404100e+01,7.473669e+00,2.1345
8000,32148.09,-0.264038,1.084153,0.316493,6.353870e+00,1.041118e+01,2.0619
10000,40953.41,0.449456,1.326221,0.456290,5.324701e+00,1.054146e+01,2.0408
12000,49996.15,0.657963,1.400821,0.572293,6.290344e+00,1.044848e+01,2.0030
14000,59044.25,0.791863,1.429401,0.614729,6.250800e+00,1.047189e+01,2.0040
16000,67416.96,0.974640,1.527109,0.677682,5.308435e+00,1.054958e+01,2.0010
18000,75535.92,1.068705,1.539030,0.716849,7.893457e+00,1.064050e+01,2.0020
20000,83620.12,1.021849,1.552340,0.743780,6.253772e+00,1.047016e+01,2.0020
20417,85588.39,1.086136,1.480817,0.757484,5.288220e+00,1.055963e+01,2.0000
