training_step,episode,mean_return,mean_loss,mean_episode_length
80,130,-1.481564,0.137409,3.8538
160,270,-1.365119,0.682897,3.6429
240,403,-1.247188,0.910242,3.8421
320,535,-1.155971,0.145222,3.8636
400,666,-0.840331,0.646830,3.9466
480,805,-1.060803,0.356002,3.6403
560,946,-0.335249,1.643664,3.6809
640,1077,0.012274,1.412216,3.8931
720,1210,-0.067906,1.884314,3.8346
800,1338,0.321193,1.571570,4.0000
880,1473,0.622602,1.720600,3.8222
960,1599,1.220875,1.646281,4.0397
1040,1733,1.591163,1.573452,3.8284
1120,1870,2.041249,2.158316,3.7153
1200,2001,2.885939,2.685155,3.9008
1280,2136,3.779311,2.695188,3.8148
1360,2275,4.642407,2.518143,3.6691
1440,2412,4.774171,1.382656,3.7591
1520,2554,4.903902,1.878542,3.6338
1600,2693,5.093502,1.684872,3.6763
1680,2836,5.593604,1.093496,3.5664
1760,2978,5.932038,0.992650,3.6197
1840,3120,6.206658,1.830444,3.6056
1920,3254,6.172867,0.880593,3.7836
2000,3398,6.400099,1.247304,3.5694
2080,3540,6.966584,1.638005,3.6127
2160,3684,7.068615,0.720884,3.5625
2240,3823,7.311195,0.530476,3.6619
2320,3962,7.051885,0.891880,3.6547
2400,4104,7.257918,0.544331,3.6268
2480,4245,7.447199,0.588561,3.6738
2560,4390,7.547216,0.334102,3.5103
2640,4534,7.439049,0.140774,3.5417
2720,4685,7.565173,0.599209,3.3709
2800,4833,7.682822,0.484265,3.5000
2880,4977,7.754634,0.132770,3.5625
2960,5127,7.749618,0.383021,3.3733
3040,5273,7.715846,0.298100,3.5068
3120,5424,7.804583,0.312776,3.4371
3200,5563,7.924791,-0.137417,3.6547
3280,5707,7.826216,0.186130,3.5347
3360,5862,7.955036,-0.057000,3.3290
3440,6008,7.790846,-0.094717,3.5274
3520,6156,7.828288,0.707418,3.4459
3600,6305,7.899549,-0.031702,3.4295
3680,6457,7.924457,-0.039762,3.3684
3760,6606,7.976613,-0.065315,3.4228
3840,6758,7.931223,0.045703,3.4145
3920,6911,7.879399,-0.114890,3.3529
4000,7062,7.894069,-0.070175,3.3642
4080,7214,7.954149,-0.223603,3.3289
4160,7366,7.908298,-0.178468,3.3487
4240,7523,7.870842,0.462982,3.3057
4320,7678,8.000000,-0.202709,3.3097
4400,7838,7.950014,0.590371,3.2188
4480,7997,7.833650,0.713179,3.2013
4560,8153,7.948732,0.576621,3.2500
4640,8309,7.948732,-0.212438,3.3462
4720,8468,7.883950,-0.061291,3.2138
4800,8629,7.978356,-0.026680,3.1925
4880,8787,7.927326,0.655092,3.2025
4960,8944,7.955609,0.212353,3.2611
5040,9103,8.000000,0.020365,3.2138
5120,9262,7.978084,0.081689,3.2579
5200,9423,7.928609,-0.091403,3.1739
5280,9582,7.905867,0.245180,3.2075
5360,9739,7.977804,-0.230107,3.2357
5440,9899,7.956441,-0.089975,3.2437
5520,10059,8.000000,0.194259,3.1875
5600,10217,7.933835,0.115117,3.2405
5680,10376,7.905867,-0.063749,3.1950
5760,10536,8.000000,0.104470,3.2125
5840,10700,7.951233,-0.059596,3.1037
5920,10864,7.978752,0.020280,3.1524
6000,11026,8.000000,0.079544,3.1667
6080,11182,7.897464,0.662696,3.2564
6160,11347,7.906399,0.131512,3.1576
6240,11513,7.909836,-0.099353,3.0361
6320,11678,8.000000,-0.086592,3.1212
6400,11834,8.000000,-0.170396,3.2179
6480,11996,7.978490,-0.027708,3.1852
6560,12159,7.953550,0.198134,3.1656
6640,12333,7.958216,0.142272,2.9598
6720,12496,7.947240,-0.089632,3.1350
6800,12656,7.884676,0.110590,3.1562
6880,12818,8.000000,-0.041732,3.1667
6960,12974,7.948732,0.270666,3.2692
7040,13133,8.000000,0.017908,3.2327
7120,13296,7.978622,-0.108997,3.1288
7200,13464,7.931652,-0.101968,3.0893
7280,13621,8.000000,-0.181304,3.2357
7360,13781,8.000000,-0.062330,3.2000
7440,13947,7.927201,-0.078281,3.0602
7520,14112,8.000000,-0.036357,3.1152
7600,14277,7.949704,0.108488,3.1152
7680,14440,8.000000,-0.076519,3.1656
7760,14601,8.000000,-0.043656,3.1988
7840,14760,8.000000,-0.140672,3.1698
7920,14932,8.000000,-0.133925,2.9884
8000,15096,8.000000,-0.032292,3.1402
