episode_id,function_id,seed,step_idx,tau,budget_used_before,budget_remaining_frac_before,strategy,F,CR,budget_frac_action,sampling_box_action,box_width_frac_initial,box_width_frac_final,box_at_floor,incumbent_in_box,n_stag_before,n_stag_after,segment_best_error,global_best_error_before,global_best_error_after,reward,done
0,11,900000,1,2.0,140,0.9533333333333334,best/1/bin,0.8,0.5,0.1,4,0.29510757327079773,0.26236867904663086,False,True,0,0,19.66717529296875,39.87847900390625,19.66717529296875,-19.66717529296875,False
0,11,900000,2,2.0,440,0.8533333333333334,best/1/bin,0.8,0.5,0.1,4,0.13202865421772003,0.18145763874053955,True,True,0,0,10.163848876953125,19.66717529296875,10.163848876953125,9.503326416015625,False
0,11,900000,3,2.0,740,0.7533333333333333,best/1/bin,0.8,0.5,0.1,4,0.09844287484884262,0.13024818897247314,True,True,0,0,8.642791748046875,10.163848876953125,8.642791748046875,1.52105712890625,False
0,11,900000,4,2.0,1040,0.6533333333333333,best/1/bin,0.8,0.5,0.1,4,0.08322489261627197,0.09416002035140991,True,False,0,0,5.94158935546875,8.642791748046875,5.94158935546875,2.701202392578125,False
0,11,900000,5,2.0,1340,0.5533333333333333,best/1/bin,0.8,0.5,0.1,4,0.06275878846645355,0.054615575820207596,True,False,0,0,3.655303955078125,5.94158935546875,3.655303955078125,2.286285400390625,False
0,11,900000,6,2.0,1640,0.4533333333333333,best/1/bin,0.8,0.5,0.1,4,0.052686214447021484,0.06602444499731064,True,False,0,0,3.422454833984375,3.655303955078125,3.422454833984375,0.23284912109375,False
0,11,900000,7,2.0,1940,0.35333333333333333,best/1/bin,0.8,0.5,0.1,4,0.06091677397489548,0.026922157034277916,True,True,0,0,2.527252197265625,3.422454833984375,2.527252197265625,0.89520263671875,False
0,11,900000,8,2.0,2240,0.25333333333333335,best/1/bin,0.8,0.5,0.1,4,0.041700005531311035,0.02559044398367405,True,True,0,0,1.10638427734375,2.527252197265625,1.10638427734375,1.420867919921875,False
0,11,900000,9,2.0,2540,0.15333333333333332,best/1/bin,0.8,0.5,0.1,4,0.041700005531311035,0.026966437697410583,True,True,0,1,2.898712158203125,1.10638427734375,1.10638427734375,0.0,False
0,11,900000,10,1.0666666666666667,2840,0.05333333333333334,best/1/bin,0.8,0.5,0.1,4,0.04169999808073044,0.038796670734882355,True,False,1,2,6.0745849609375,1.10638427734375,1.10638427734375,0.0,True
1,11,900001,1,2.0,140,0.9533333333333334,best/1/bin,0.8,0.5,0.1,4,0.36103782057762146,0.3104628622531891,False,False,0,0,18.50592041015625,61.976654052734375,18.50592041015625,-18.50592041015625,False
1,11,900001,2,2.0,440,0.8533333333333334,best/1/bin,0.8,0.5,0.1,4,0.15523143112659454,0.17437663674354553,False,True,0,0,6.882476806640625,18.50592041015625,6.882476806640625,11.623443603515625,False
1,11,900001,3,2.0,740,0.7533333333333333,best/1/bin,0.8,0.5,0.1,4,0.08718832582235336,0.02870963141322136,False,True,0,0,2.6942138671875,6.882476806640625,2.6942138671875,4.188262939453125,False
1,11,900001,4,2.0,1040,0.6533333333333333,best/1/bin,0.8,0.5,0.1,4,0.04170000180602074,0.011748305521905422,True,True,0,0,2.44879150390625,2.6942138671875,2.44879150390625,0.24542236328125,False
1,11,900001,5,2.0,1340,0.5533333333333333,best/1/bin,0.8,0.5,0.1,4,0.04169999808073044,0.03160581737756729,True,True,0,0,2.392913818359375,2.44879150390625,2.392913818359375,0.055877685546875,False
1,11,900001,6,2.0,1640,0.4533333333333333,best/1/bin,0.8,0.5,0.1,4,0.04238288477063179,0.024149226024746895,True,True,0,1,2.72357177734375,2.392913818359375,2.392913818359375,0.0,False
1,11,900001,7,2.0,1940,0.35333333333333333,best/1/bin,0.8,0.5,0.1,4,0.041700005531311035,0.03541375324130058,True,False,1,2,2.66949462890625,2.392913818359375,2.392913818359375,0.0,False
1,11,900001,8,2.0,2240,0.25333333333333335,best/1/bin,0.8,0.5,0.1,4,0.044018663465976715,0.015115094371140003,True,False,2,3,2.836700439453125,2.392913818359375,2.392913818359375,0.0,False
1,11,900001,9,2.0,2540,0.15333333333333332,best/1/bin,0.8,0.5,0.1,4,0.04169999808073044,0.01153215765953064,True,False,3,4,2.451385498046875,2.392913818359375,2.392913818359375,0.0,False
1,11,900001,10,1.0666666666666667,2840,0.05333333333333334,best/1/bin,0.8,0.5,0.1,4,0.04170000180602074,0.022670965641736984,True,False,4,5,2.9169921875,2.392913818359375,2.392913818359375,0.0,True
