training_step,elapsed_seconds,mean_return,std_return,mean_loss,mean_eval_fitness,std_eval_fitness,mean_episode_length
2000,14216.68,-1.913378,0.302487,-0.034978,3.020403e+01,5.151168e+00,3.3145
4000,23768.26,-1.408510,0.241363,0.010933,1.631736e+01,4.692157e+00,4.2169
6000,32660.22,-1.238410,0.149692,-0.058539,1.641684e+01,4.477315e+00,4.8959
8000,39871.03,-1.144501,0.208947,-0.078679,4.278348e+00,2.041486e+00,5.2399
10000,46271.96,-0.554226,0.926840,0.203013,2.783289e+00,1.317585e+00,5.9944
10880,49237.90,-0.113786,1.390104,0.516848,2.190549e+00,1.074085e+00,6.0711
