training_step,episode,mean_return,mean_loss,mean_episode_length
80,154,-1.407320,-0.218280,3.2468
160,308,-1.385606,-0.289560,3.3636
240,463,-1.403931,0.150039,3.2516
320,617,-1.309467,0.064494,3.3701
400,769,-1.310020,0.023251,3.3092
480,929,-1.360335,-0.097237,3.2563
560,1086,-1.325465,-0.128909,3.2357
640,1245,-1.318445,-0.302772,3.2201
720,1409,-1.318699,-0.094526,3.1585
800,1564,-1.272393,-0.122682,3.2516
880,1727,-1.259758,0.274069,3.1718
960,1887,-1.257552,-0.093723,3.2000
1040,2042,-1.287209,0.356285,3.2839
1120,2196,-1.284686,-0.043007,3.3506
1200,2357,-1.246039,-0.066267,3.1801
1280,2515,-1.249469,-0.146352,3.2342
1360,2672,-1.256816,0.011161,3.2548
1440,2829,-1.163727,-0.057255,3.2739
1520,2987,-1.172461,-0.054375,3.2089
1600,3139,-1.159528,-0.030329,3.3618
1680,3288,-1.166825,-0.225961,3.4161
1760,3442,-1.053831,0.143838,3.3117
1840,3593,-1.075495,-0.043782,3.4570
1920,3745,-1.119448,-0.332213,3.3882
2000,3903,-0.957495,0.128965,3.2152
2080,4046,-1.109439,-0.009960,3.5105
2160,4209,-0.959610,0.112249,3.2025
2240,4359,-0.963344,0.127193,3.4133
2320,4507,-0.871769,0.047035,3.4324
2400,4656,-0.668657,0.193509,3.4228
2480,4817,-0.859231,0.119413,3.2112
2560,4967,-0.662772,0.225384,3.4067
2640,5130,-0.586665,0.228644,3.1411
2720,5290,-0.521879,0.276624,3.2125
2800,5448,-0.233242,0.431192,3.1835
2880,5615,-0.204856,0.426432,3.1317
2960,5780,-0.007287,0.499354,3.1333
3040,5947,-0.133405,0.493095,3.0479
3120,6113,0.191933,0.644296,3.0663
3200,6287,0.387130,1.440449,2.9195
3280,6451,0.393116,0.928090,3.1463
3360,6621,0.614977,1.398977,3.0176
3440,6791,1.135489,1.651100,3.0000
3520,6957,1.079071,1.277597,3.1145
3600,7126,1.103824,1.262786,2.9882
3680,7293,1.203183,1.431234,3.0898
3760,7458,1.516072,1.248935,3.0727
3840,7630,1.462411,1.803194,3.0116
3920,7802,1.624970,1.847103,2.9477
4000,7976,1.286792,1.265506,2.9425
4080,8147,1.795253,2.079793,3.0234
4160,8318,1.910719,1.794667,2.9883
4240,8494,1.676822,1.691187,2.9034
4320,8668,2.151216,2.097636,2.9425
4400,8839,2.473816,2.354185,2.9708
4480,9011,1.793342,2.374959,3.0000
4560,9182,1.784853,1.676187,2.9942
4640,9355,1.826322,1.893668,2.9653
4720,9525,2.030150,0.913577,2.9941
4800,9696,2.332108,1.010079,3.0175
4880,9862,2.596329,1.146605,3.0663
4960,10028,2.282383,1.385023,3.0843
