training_step,episode,mean_return,mean_loss,mean_episode_length
80,158,-3.294857,0.213614,3.1899
160,310,-3.293746,-0.271948,3.3355
240,468,-3.298058,0.207150,3.2848
320,624,-3.253616,0.079026,3.2179
400,779,-3.279941,-0.050861,3.3355
480,942,-3.252060,-0.137254,3.1472
560,1103,-3.121184,-0.133752,3.1801
640,1261,-3.105793,0.017598,3.2468
720,1415,-3.024465,-0.163114,3.3117
800,1576,-3.000447,-0.008047,3.1863
880,1736,-2.928439,-0.188123,3.1875
960,1898,-2.869409,0.050840,3.1667
1040,2060,-2.851382,-0.052755,3.1667
1120,2226,-2.739917,0.128651,3.0964
1200,2384,-2.706291,-0.166523,3.1962
1280,2553,-2.611932,0.222892,3.0710
1360,2720,-2.582765,0.037172,3.0778
1440,2885,-2.501837,-0.119804,3.1091
1520,3050,-2.453957,-0.089784,3.0848
1600,3216,-2.394238,-0.208550,3.0602
1680,3388,-2.296710,-0.141013,3.0174
1760,3558,-2.301494,0.023683,2.9706
1840,3733,-2.270062,0.096068,2.9257
1920,3905,-2.268556,0.060792,3.0000
2000,4077,-2.126449,0.023151,2.9535
2080,4253,-2.142828,0.006964,2.9545
2160,4423,-2.117740,-0.009884,2.9765
2240,4589,-2.057395,0.086438,3.1145
2320,4769,-2.023177,-0.168159,2.8333
2400,4951,-2.094364,-0.121180,2.7857
2480,5128,-2.092242,0.023011,2.9209
2560,5310,-1.964584,-0.001703,2.8077
2640,5501,-1.994558,0.124549,2.6963
2720,5685,-1.933197,0.116218,2.7609
2800,5865,-1.871718,0.051061,2.8389
2880,6053,-1.903144,0.032997,2.7287
2960,6236,-1.935211,0.088674,2.7978
3040,6423,-1.959300,-0.005779,2.7433
3120,6610,-1.941013,-0.117108,2.7540
3200,6797,-1.921892,-0.026829,2.7273
3280,6979,-1.866806,0.130959,2.8242
3360,7168,-1.872143,0.053928,2.7249
3440,7351,-1.858874,-0.025272,2.7432
3520,7535,-1.888868,0.008988,2.7989
3600,7724,-1.897762,-0.104138,2.7037
3680,7911,-1.847869,-0.016608,2.7433
3760,8102,-1.917792,-0.013671,2.6963
3840,8289,-1.845793,-0.184889,2.7273
3920,8484,-1.856093,0.041840,2.6256
4000,8672,-1.832413,-0.166494,2.7128
4080,8858,-1.795437,0.084777,2.7527
4160,9053,-1.812720,0.050664,2.6513
4240,9240,-1.772451,0.069467,2.7380
4320,9429,-1.788451,-0.089243,2.6984
4400,9624,-1.758669,0.273315,2.6308
4480,9818,-1.717280,-0.034253,2.6237
4560,10007,-1.783155,0.096289,2.7196
4640,10197,-1.807672,-0.050903,2.6842
4720,10386,-1.771454,0.043355,2.7302
4800,10573,-1.753612,0.055768,2.7273
4880,10763,-1.681473,0.071103,2.6895
4960,10951,-1.721922,0.123580,2.7181
5040,11144,-1.745241,-0.042031,2.6477
5120,11336,-1.745304,0.085750,2.6927
5200,11526,-1.727824,0.007751,2.6737
5280,11719,-1.694677,0.173099,2.6632
5360,11910,-1.722429,0.082975,2.6806
5440,12101,-1.811810,0.066109,2.6702
5520,12285,-1.707324,0.230621,2.7880
5600,12473,-1.744456,0.014449,2.7181
5680,12658,-1.709677,0.063675,2.7622
5760,12846,-1.770849,-0.073914,2.7181
5840,13037,-1.737785,0.123827,2.7173
5920,13225,-1.687511,-0.092574,2.7128
6000,13410,-1.689666,-0.063011,2.7568
6080,13593,-1.694521,-0.058026,2.8197
6160,13790,-1.664612,0.083364,2.5939
6240,13980,-1.637761,-0.091892,2.7000
6320,14161,-1.741598,-0.097686,2.7845
6400,14349,-1.742643,-0.044506,2.7394
6480,14546,-1.614709,0.145325,2.5939
6560,14737,-1.644454,-0.055344,2.7016
6640,14931,-1.580780,0.061857,2.6237
6720,15123,-1.637195,-0.003442,2.6927
