training_step,elapsed_seconds,mean_return,std_return,mean_loss,mean_eval_fitness,std_eval_fitness,mean_episode_length
2000,14670.45,-1.627880,0.211263,-0.048873,3.158417e+01,6.218030e-01,3.4919
4000,30278.00,-1.489629,0.061131,-0.088062,3.053778e+01,1.357087e-01,3.5004
6000,42589.91,-1.480629,0.222948,-0.055223,3.045206e+01,1.662223e-02,3.5112
8000,54861.86,-1.481586,0.164091,-0.042610,3.045284e+01,2.344489e-02,3.4586
8240,57098.97,-1.484775,0.008917,-0.128407,3.044404e+01,1.279260e-02,3.4989
