training_step,episode,mean_return,mean_loss,mean_episode_length
80,154,-6.740855,0.765367,3.2532
160,307,-6.747241,0.253894,3.3725
240,455,-6.684232,0.033652,3.4257
320,608,-6.686323,0.106947,3.3268
400,769,-6.669699,0.281287,3.2547
480,923,-6.599729,0.080536,3.2792
560,1074,-6.539098,0.110442,3.3841
640,1220,-6.417176,-0.111846,3.5068
720,1365,-6.521700,0.079873,3.5241
800,1512,-6.446337,-0.048183,3.4830
880,1663,-6.438540,0.139787,3.3974
960,1808,-6.266205,0.102757,3.5379
1040,1955,-6.229529,-0.018591,3.4830
1120,2103,-6.232810,0.151588,3.4459
1200,2248,-6.127704,-0.031824,3.5586
1280,2390,-6.142408,-0.023258,3.5845
1360,2533,-6.082503,-0.140587,3.5944
1440,2673,-5.999426,-0.116985,3.6857
1520,2814,-6.039695,-0.058348,3.5745
1600,2957,-5.892114,-0.084028,3.5874
1680,3092,-5.677102,0.171841,3.8000
1760,3232,-5.740810,0.179241,3.6786
1840,3361,-5.725207,0.029867,3.9302
1920,3491,-5.424907,0.030075,3.9615
2000,3629,-5.654943,0.212418,3.7464
2080,3761,-5.586656,0.105899,3.8258
2160,3904,-5.483385,-0.071548,3.5944
2240,4040,-5.418416,0.003936,3.7721
2320,4182,-5.312298,0.159093,3.5915
2400,4320,-5.108957,0.180363,3.6667
2480,4459,-5.276397,-0.128741,3.7842
2560,4600,-5.028591,-0.023664,3.5745
2640,4737,-5.134613,0.030697,3.7080
2720,4874,-4.994925,-0.047681,3.7372
2800,5011,-4.929309,0.109890,3.7445
2880,5153,-4.781206,0.059623,3.5986
2960,5294,-4.894356,-0.094397,3.6312
3040,5439,-4.803949,-0.085183,3.5448
3120,5577,-4.759602,0.130379,3.7174
3200,5718,-4.827982,0.051349,3.6525
3280,5859,-4.684209,0.102875,3.5957
3360,6000,-4.798033,0.026197,3.6454
3440,6145,-4.594259,0.045472,3.5379
3520,6285,-4.637132,-0.090733,3.6429
3600,6423,-4.739853,0.019092,3.6957
3680,6552,-4.434709,0.109500,4.0310
3760,6682,-4.635321,0.039755,3.8846
3840,6816,-4.540504,-0.037486,3.8284
3920,6948,-4.292023,0.199431,3.8333
4000,7079,-4.230451,0.387978,3.9618
4080,7215,-4.170129,0.148488,3.7647
4160,7349,-4.206614,0.959568,3.7836
4240,7487,-4.123716,0.331551,3.7246
4320,7631,-3.943253,0.128268,3.5903
4400,7768,-3.984146,0.607389,3.7226
4480,7901,-3.774634,0.371659,3.8346
4560,8039,-3.587159,0.935798,3.7174
4640,8171,-3.676800,0.314487,3.8864
4720,8302,-3.381911,0.500163,3.9618
4800,8436,-2.934868,1.669326,3.7761
4880,8562,-3.193189,1.214691,3.9762
4960,8695,-2.349976,0.598875,3.9549
5040,8828,-2.027163,1.281881,3.7895
5120,8964,-2.020415,3.314650,3.7941
5200,9100,-1.874542,0.937109,3.7426
5280,9239,-2.006180,1.271329,3.7410
5360,9375,-1.417762,1.811262,3.7279
5440,9513,-1.435371,2.782202,3.7174
5520,9658,-0.815191,2.552424,3.5310
5600,9800,-0.655156,1.734547,3.6268
5680,9945,-0.253267,2.986720,3.5241
5760,10095,-0.362609,2.749013,3.3600
5840,10244,0.510581,2.231275,3.4899
5920,10388,0.225922,3.567218,3.5347
6000,10534,0.354276,1.871235,3.5411
6080,10680,0.587471,4.279939,3.4384
6160,10835,0.661389,3.574288,3.3419
6240,10981,0.658681,3.018583,3.4863
6320,11129,0.576039,2.408533,3.4865
6400,11276,1.220480,2.341171,3.4966
6480,11427,1.236913,2.352568,3.3974
6560,11571,1.579317,3.952680,3.5069
6640,11725,1.078864,2.119880,3.3831
6720,11872,1.602465,3.301815,3.4626
6800,12019,0.914407,3.657129,3.4626
6880,12174,1.575312,2.638411,3.2968
6960,12325,1.183518,2.956543,3.3907
7040,12474,0.866587,2.692252,3.4362
7120,12633,1.969219,4.223783,3.2579
7200,12787,2.114603,4.140949,3.3182
7280,12940,1.789144,2.293466,3.3203
7360,13096,1.912116,4.120530,3.2885
7440,13253,1.661241,2.761994,3.2803
7520,13408,1.348917,4.759706,3.2452
7600,13566,2.239068,3.766012,3.2532
7680,13723,2.549483,3.844470,3.2803
7760,13882,2.712259,3.080007,3.2264
7840,14039,1.871192,2.332386,3.2611
7920,14199,2.805993,3.536624,3.2125
8000,14359,2.336874,2.530169,3.2125
8080,14519,2.110226,3.868812,3.2062
8160,14676,1.757690,5.203729,3.1847
8240,14836,3.059331,3.541429,3.2062
8320,14997,2.794835,3.005212,3.1863
8400,15160,3.063151,2.820600,3.1779
