seed,function_id,best_error,evals_used
900000,12,1.416167e+02,300000
900001,12,1.741254e+02,300000
900002,12,1.705675e+02,300000
900003,12,1.721002e+02,300000
900004,12,1.695169e+02,300000
900005,12,1.749028e+02,300000
900006,12,1.886696e+02,300000
900007,12,1.698767e+02,300000
900008,12,1.799236e+02,300000
900009,12,1.898997e+02,300000
900010,12,1.819576e+02,300000
900011,12,1.812479e+02,300000
900012,12,1.765439e+02,300000
900013,12,1.779529e+02,300000
900014,12,1.754774e+02,300000
900015,12,1.559745e+02,300000
900016,12,1.821984e+02,300000
900017,12,1.781553e+02,300000
900018,12,1.748313e+02,300000
900019,12,1.743587e+02,300000
900020,12,1.932544e+02,300000
900021,12,1.830666e+02,300000
900022,12,1.555981e+02,300000
900023,12,1.838400e+02,300000
900024,12,1.840857e+02,300000
900025,12,1.809967e+02,300000
900026,12,1.882906e+02,300000
900027,12,1.803074e+02,300000
900028,12,1.744070e+02,300000
900029,12,1.629926e+02,300000
900030,12,1.854677e+02,300000
900031,12,1.797626e+02,300000
900032,12,1.747814e+02,300000
900033,12,1.915539e+02,300000
900034,12,1.780979e+02,300000
900035,12,1.819565e+02,300000
900036,12,1.724552e+02,300000
900037,12,1.908289e+02,300000
900038,12,1.676388e+02,300000
900039,12,1.840144e+02,300000
900040,12,1.756341e+02,300000
900041,12,1.816725e+02,300000
900042,12,1.699687e+02,300000
900043,12,1.792686e+02,300000
900044,12,1.502749e+02,300000
900045,12,1.837993e+02,300000
900046,12,1.771810e+02,300000
900047,12,1.787334e+02,300000
900048,12,1.647851e+02,300000
900049,12,1.923040e+02,300000
900050,12,1.880359e+02,300000
