training_step,episode,mean_return,mean_loss,mean_episode_length
80,135,-0.132618,0.196703,3.6963
160,265,-0.020569,0.120873,3.9538
240,404,0.002057,0.157374,3.6978
320,542,0.275685,0.394779,3.7101
400,684,0.328142,0.167701,3.6197
480,826,0.554860,0.523089,3.5352
560,969,0.718247,0.288671,3.6294
640,1112,1.009767,0.681994,3.5874
720,1251,1.125157,0.324738,3.6475
800,1397,1.154445,0.921799,3.5068
880,1540,0.983627,0.322265,3.6014
960,1683,1.287871,0.806866,3.5664
1040,1823,1.437978,0.954621,3.6714
1120,1959,1.615230,0.867029,3.7500
1200,2095,1.710387,0.626916,3.7500
1280,2238,1.844693,0.288310,3.6014
1360,2377,2.039336,1.065467,3.6978
1440,2519,2.233237,1.332347,3.5845
1520,2653,2.056908,1.155719,3.8134
1600,2790,2.291892,0.645718,3.7591
1680,2925,2.573074,1.392697,3.8000
1760,3062,2.922501,1.348566,3.7299
1840,3193,2.772488,1.337154,3.8550
1920,3334,3.206237,1.916863,3.6950
2000,3465,3.141528,1.493433,3.8702
2080,3595,3.462620,1.902829,3.9385
2160,3725,4.182791,1.784307,3.9385
2240,3858,3.643045,2.310623,3.8571
2320,3981,3.870289,2.058699,4.1626
2400,4111,3.716548,1.950912,3.9308
2480,4240,4.045828,1.696081,3.9922
2560,4373,4.263395,2.244009,3.8496
2640,4505,4.471812,2.310524,3.8636
2720,4631,4.430865,2.107665,4.0000
2800,4756,4.512732,2.309526,4.1360
2880,4883,5.250552,2.325461,4.0945
2960,5011,5.114511,2.148745,3.9531
3040,5138,4.938705,2.377399,4.0315
3120,5265,5.170406,2.237762,4.0630
3200,5392,5.155213,2.723637,4.0315
3280,5515,5.417996,2.536207,4.1138
3360,5649,5.272691,1.725494,3.8806
3440,5777,5.302001,2.682784,3.9688
3520,5904,5.242993,2.090258,3.9685
3600,6038,5.023954,2.287846,3.9030
3680,6169,5.128583,1.928046,3.9008
3760,6300,5.567370,2.468946,3.8779
3840,6428,5.695037,2.429664,4.0391
3920,6555,6.235003,1.638330,3.9764
4000,6678,5.824873,2.122651,4.1545
4080,6805,5.472540,2.109989,4.0787
4160,6927,6.023223,1.998984,4.1639
4240,7049,6.431768,1.643931,4.1967
4320,7172,6.141862,1.715370,4.1626
4400,7295,5.983854,2.367410,4.0976
4480,7418,6.404882,1.380581,4.2520
4560,7545,6.053581,1.992522,4.0079
4640,7670,6.372974,1.531024,4.1760
4720,7790,6.407121,0.729533,4.1833
4800,7912,6.152329,1.275364,4.1639
4880,8036,6.670190,1.419014,4.1371
4960,8161,6.343677,1.785614,4.1440
5040,8285,6.576956,1.989387,4.1371
5120,8410,6.967671,1.530234,4.1280
5200,8536,6.577447,1.755678,4.0714
5280,8658,6.928250,1.838240,4.1393
5360,8780,6.618380,1.779449,4.2049
5440,8898,7.276649,1.468333,4.2712
5520,9020,6.196850,1.687552,4.2541
5600,9142,6.750147,1.377700,4.2131
5680,9259,6.880240,0.907654,4.3333
5760,9377,6.737726,0.826124,4.3729
5840,9493,6.881327,1.355337,4.3534
5920,9615,7.094271,1.241475,4.2459
6000,9736,6.974559,0.613647,4.2893
6080,9851,7.117561,1.156491,4.3565
6160,9969,7.145972,1.204957,4.3305
6240,10088,7.171826,0.634428,4.3866
6320,10204,7.368388,1.132138,4.3793
6400,10319,7.368215,0.292140,4.4087
6480,10435,7.447695,0.639484,4.4397
6560,10553,7.150779,0.772348,4.2542
6640,10669,7.195433,1.797772,4.4569
6720,10785,7.075860,0.199760,4.4224
6800,10900,7.405836,0.553295,4.4348
6880,11017,7.079902,1.046660,4.4615
6960,11138,7.200777,1.273698,4.2562
7040,11249,7.282714,1.201146,4.5405
7120,11369,7.465591,0.290957,4.3083
7200,11485,7.250429,0.725437,4.4052
7280,11601,7.349703,1.140989,4.3621
7360,11719,7.147304,1.115764,4.3305
7440,11834,7.353463,1.014271,4.4522
7520,11952,7.101310,0.792161,4.3644
7600,12071,7.392851,0.853681,4.2773
7680,12194,7.681422,0.421194,4.2439
7760,12307,7.608995,0.444248,4.5044
7840,12424,7.263480,0.765204,4.3590
7920,12541,7.428059,0.243918,4.3932
8000,12657,7.441753,0.231459,4.3707
8080,12775,7.545876,0.224417,4.3559
8160,12896,7.308765,0.690931,4.2727
8240,13014,7.502615,0.379671,4.3305
8320,13128,7.503914,0.734171,4.3947
8400,13247,7.535861,1.106650,4.3782
8480,13358,7.500954,1.021854,4.5766
8560,13477,7.425832,0.835676,4.3109
8640,13595,7.620778,0.138764,4.3390
8720,13713,7.546922,1.386066,4.2627
8800,13830,7.379664,0.590043,4.4530
8880,13948,7.348707,1.732919,4.3475
8960,14064,7.601140,0.607954,4.3362
9040,14181,7.618877,0.582029,4.4188
9120,14297,7.753434,0.179457,4.4052
9200,14413,7.620808,0.345678,4.3879
9280,14534,7.455681,0.916742,4.3058
9360,14649,7.765109,0.330902,4.4261
9440,14773,7.710126,0.357070,4.1532
9520,14891,7.558488,0.219639,4.3559
9600,15010,7.564822,0.502769,4.2437
