seed,function_id,best_error,evals_used
900000,8,2.098999e+01,300000
900001,8,2.093921e+01,300000
900002,8,2.099982e+01,300000
900003,8,2.092041e+01,300000
900004,8,2.087561e+01,300000
900005,8,2.091986e+01,300000
900006,8,2.093964e+01,300000
900007,8,2.098315e+01,300000
900008,8,2.090564e+01,300000
900009,8,2.094543e+01,300000
900010,8,2.093298e+01,300000
900011,8,2.096149e+01,300000
900012,8,2.102234e+01,300000
900013,8,2.091290e+01,300000
900014,8,2.090552e+01,300000
900015,8,2.081281e+01,300000
900016,8,2.084296e+01,300000
900017,8,2.094476e+01,300000
900018,8,2.099353e+01,300000
900019,8,2.095819e+01,300000
900020,8,2.093121e+01,300000
900021,8,2.093671e+01,300000
900022,8,2.098547e+01,300000
900023,8,2.085474e+01,300000
900024,8,2.090173e+01,300000
900025,8,2.091101e+01,300000
900026,8,2.093774e+01,300000
900027,8,2.090814e+01,300000
900028,8,2.097644e+01,300000
900029,8,2.094946e+01,300000
900030,8,2.091785e+01,300000
900031,8,2.095660e+01,300000
900032,8,2.095154e+01,300000
900033,8,2.078778e+01,300000
900034,8,2.091724e+01,300000
900035,8,2.096564e+01,300000
900036,8,2.072992e+01,300000
900037,8,2.097534e+01,300000
900038,8,2.085718e+01,300000
900039,8,2.095636e+01,300000
900040,8,2.093567e+01,300000
900041,8,2.087561e+01,300000
900042,8,2.090686e+01,300000
900043,8,2.093097e+01,300000
900044,8,2.085187e+01,300000
900045,8,2.096606e+01,300000
900046,8,2.098315e+01,300000
900047,8,2.076752e+01,300000
900048,8,2.088953e+01,300000
900049,8,2.078461e+01,300000
900050,8,2.100183e+01,300000
