seed,function_id,best_error,evals_used
900000,2,1.317221e+05,300000
900001,2,2.712566e+05,300000
900002,2,9.413856e+04,300000
900003,2,1.445657e+05,300000
900004,2,3.800502e+05,300000
900005,2,1.080222e+05,300000
900006,2,2.529698e+05,300000
900007,2,7.613246e+04,300000
900008,2,5.618744e+04,300000
900009,2,2.191803e+05,300000
900010,2,1.745080e+05,300000
900011,2,3.073196e+05,300000
900012,2,3.825302e+05,300000
900013,2,2.193172e+05,300000
900014,2,1.726643e+05,300000
900015,2,2.438187e+05,300000
900016,2,1.360108e+05,300000
900017,2,1.655183e+05,300000
900018,2,1.141284e+05,300000
900019,2,2.018356e+05,300000
900020,2,1.700084e+05,300000
900021,2,4.639278e+05,300000
900022,2,3.705164e+04,300000
900023,2,1.366601e+05,300000
900024,2,1.405256e+05,300000
900025,2,1.915667e+05,300000
900026,2,1.989770e+05,300000
900027,2,2.875736e+05,300000
900028,2,1.167911e+05,300000
900029,2,1.316264e+05,300000
900030,2,2.508488e+05,300000
900031,2,1.545261e+05,300000
900032,2,9.698276e+04,300000
900033,2,1.851540e+05,300000
900034,2,1.283960e+05,300000
900035,2,4.468462e+05,300000
900036,2,9.112529e+04,300000
900037,2,5.549147e+04,300000
900038,2,5.528689e+04,300000
900039,2,1.090126e+05,300000
900040,2,1.752410e+05,300000
900041,2,2.659725e+05,300000
900042,2,5.306804e+05,300000
900043,2,3.438602e+05,300000
900044,2,2.529370e+05,300000
900045,2,9.162745e+04,300000
900046,2,1.890173e+05,300000
900047,2,1.812882e+05,300000
900048,2,2.045063e+05,300000
900049,2,1.323413e+05,300000
900050,2,3.176926e+05,300000
