seed,function_id,best_error,evals_used
900000,12,2.089417e+01,300000
900001,12,7.366064e+01,300000
900002,12,4.219189e+01,300000
900003,12,9.440852e+01,300000
900004,12,3.084393e+01,300000
900005,12,1.694871e+02,300000
900006,12,1.628541e+02,300000
900007,12,1.713622e+02,300000
900008,12,4.436250e+01,300000
900009,12,4.456088e+01,300000
900010,12,1.689181e+02,300000
900011,12,2.387903e+01,300000
900012,12,1.724196e+02,300000
900013,12,4.899774e+01,300000
900014,12,1.766938e+02,300000
900015,12,2.696671e+01,300000
900016,12,1.591934e+01,300000
900017,12,3.316025e+01,300000
900018,12,3.564996e+01,300000
900019,12,2.987222e+01,300000
900020,12,1.667501e+02,300000
900021,12,4.984598e+01,300000
900022,12,1.654212e+02,300000
900023,12,1.711183e+02,300000
900024,12,1.796268e+02,300000
900025,12,1.827827e+02,300000
900026,12,1.529291e+02,300000
900027,12,6.294888e+01,300000
900028,12,1.744633e+02,300000
900029,12,1.649586e+02,300000
900030,12,3.183865e+01,300000
900031,12,1.628862e+02,300000
900032,12,1.791199e+01,300000
900033,12,4.125037e+01,300000
900034,12,1.699372e+02,300000
900035,12,1.744847e+02,300000
900036,12,1.175132e+02,300000
900037,12,6.687430e+01,300000
900038,12,1.454059e+02,300000
900039,12,1.671535e+02,300000
900040,12,1.826330e+02,300000
900041,12,1.797757e+02,300000
900042,12,1.847415e+02,300000
900043,12,1.690830e+02,300000
900044,12,2.686395e+01,300000
900045,12,1.711296e+02,300000
900046,12,1.646724e+02,300000
900047,12,1.758677e+02,300000
900048,12,3.681500e+01,300000
900049,12,1.694471e+02,300000
900050,12,1.492459e+01,300000
