training_step,episode,mean_return,mean_loss,mean_episode_length
80,168,-6.496292,1.712741,2.9702
160,342,-6.053836,1.124904,2.9770
240,520,-5.797692,1.469341,2.8933
320,697,-6.052152,1.296928,2.8531
400,864,-5.819636,1.106010,3.0479
480,1027,-5.636705,1.941825,3.1656
560,1193,-5.474887,2.116172,3.1145
640,1348,-5.855186,0.983631,3.2516
720,1505,-5.385745,1.907715,3.2930
800,1661,-5.186989,1.691821,3.2564
880,1812,-5.128773,1.700853,3.3974
960,1966,-5.076431,1.915498,3.3312
1040,2117,-4.658896,1.673838,3.3775
1120,2270,-4.764666,1.540293,3.3922
1200,2416,-4.281923,1.351248,3.5000
1280,2569,-4.219305,1.870898,3.3072
1360,2717,-4.410395,1.755428,3.4189
1440,2866,-3.621895,1.534717,3.5101
1520,3010,-3.759100,1.619946,3.5069
1600,3163,-3.572783,2.064975,3.3464
1680,3316,-3.448231,2.364947,3.3856
1760,3468,-3.439277,2.249081,3.3618
1840,3616,-2.852897,1.466368,3.4662
1920,3775,-2.910886,1.464041,3.2075
2000,3925,-2.818560,1.330175,3.4267
2080,4081,-2.262902,1.606144,3.2500
2160,4235,-2.425976,1.751119,3.3571
2240,4390,-2.051963,1.840238,3.2516
2320,4549,-1.857850,1.919427,3.2327
2400,4704,-2.151018,1.541236,3.3226
2480,4871,-2.212873,2.066568,3.0838
2560,5041,-1.766994,1.281181,3.0000
2640,5218,-2.021143,1.650808,2.8983
2720,5396,-1.510646,2.423563,2.8539
2800,5571,-1.613362,2.317399,2.9543
2880,5751,-1.331377,2.519123,2.8556
2960,5932,-1.659302,2.823525,2.8122
3040,6122,-1.047682,1.943737,2.7053
3120,6314,-1.570556,1.938348,2.6667
3200,6505,-1.117539,1.206980,2.6597
3280,6690,-1.043336,2.067950,2.8000
3360,6875,-1.186464,2.371657,2.7459
3440,7061,-0.918721,1.763107,2.7849
3520,7236,-0.740487,2.150143,2.9086
3600,7411,-0.720472,1.846434,2.9257
3680,7588,-0.945637,1.948624,2.8927
3760,7769,-0.756818,1.734239,2.8343
3840,7949,-1.138487,1.662838,2.8167
3920,8126,-0.510191,2.539730,2.9322
4000,8301,-1.054741,2.618439,2.9143
4080,8480,-0.827925,1.437065,2.8547
4160,8656,-0.359919,1.348704,2.8864
4240,8834,-0.851495,2.098220,2.8876
4320,9010,-0.353798,1.063687,2.9148
4400,9184,-0.797630,2.757656,2.9368
4480,9358,-0.255303,1.785922,2.9195
4560,9534,-0.759231,2.248999,2.9375
4640,9715,-0.437642,2.528989,2.8398
4720,9891,-0.257503,2.093630,2.8864
4800,10075,0.008526,3.149925,2.7880
4880,10250,-0.494364,1.948662,2.9086
4960,10425,-0.061308,1.714980,2.9486
5040,10595,-0.384220,2.505566,3.0000
5120,10764,-0.069737,1.884480,3.0355
5200,10931,-0.054425,1.619587,3.0719
5280,11093,0.049657,2.173862,3.1049
5360,11270,0.223349,1.712280,2.9379
5440,11445,0.144538,2.310642,2.9486
5520,11615,0.147326,2.150469,2.9706
5600,11787,0.064118,1.566810,2.9535
5680,11963,-0.291441,1.533092,2.9489
5760,12120,-0.156185,1.397662,3.2803
5840,12284,-0.236743,1.202521,3.0732
5920,12451,0.003901,1.220625,3.1078
6000,12621,0.143027,2.162775,3.0000
6080,12793,0.159310,1.568270,2.9593
6160,12960,0.201339,1.121605,3.0778
6240,13124,0.012742,1.570338,3.1402
6320,13284,0.003100,0.875547,3.1812
6400,13443,-0.060297,1.320958,3.1761
6480,13607,0.002911,1.505057,3.1829
6560,13765,-0.080933,1.386136,3.2342
6640,13923,0.440258,2.205338,3.2215
6720,14090,0.070420,1.248603,3.0778
6800,14260,0.296759,2.890467,3.0235
6880,14420,0.157758,2.307728,3.1562
6960,14579,0.189826,1.170730,3.2516
7040,14736,0.010510,1.867220,3.2420
7120,14888,0.253036,1.026386,3.3750
7200,15040,0.142202,1.440298,3.3487
