training_step,elapsed_seconds,mean_return,std_return,mean_loss,mean_eval_fitness,std_eval_fitness,mean_episode_length
2000,8062.61,-0.380744,1.963479,0.815400,5.472412e-01,1.145530e+00,3.3040
4000,13808.00,0.869189,1.135167,0.276665,3.035278e-01,5.519261e-01,5.1081
6000,18555.66,1.117381,1.060160,0.299156,6.737061e-02,5.585254e-02,6.0038
7600,22417.39,1.157223,1.013680,0.244011,5.809326e-02,1.013488e-01,6.6259
