training_step,episode,mean_return,mean_loss,mean_episode_length
80,197,-2.063271,-0.078076,2.5533
160,398,-2.061466,0.003266,2.5622
240,596,-2.018093,-0.135512,2.5657
320,791,-1.968624,-0.100724,2.6462
400,990,-1.964189,-0.224426,2.5528
480,1190,-1.952787,-0.154725,2.5900
560,1376,-1.907083,-0.111868,2.7312
640,1565,-1.881795,-0.101648,2.7302
720,1740,-1.864844,0.000663,2.8743
800,1918,-1.835415,-0.229681,2.8820
880,2099,-1.814933,-0.095487,2.8453
960,2273,-1.777307,0.019375,2.9425
1040,2448,-1.758643,-0.111069,2.9486
1120,2619,-1.665084,0.054378,2.9825
1200,2791,-1.682031,-0.078100,2.9884
1280,2965,-1.610689,-0.086410,2.9425
1360,3128,-1.593151,-0.051095,3.0920
1440,3289,-1.564662,-0.183332,3.1863
1520,3452,-1.521161,-0.051934,3.1595
1600,3620,-1.470414,-0.029310,3.0536
1680,3780,-1.445737,0.035788,3.1938
1760,3941,-1.444122,-0.009986,3.1925
1840,4094,-1.407886,-0.042444,3.3399
1920,4254,-1.361669,-0.195771,3.2188
2000,4399,-1.348994,0.108635,3.4828
2080,4555,-1.387039,-0.087801,3.3077
2160,4699,-1.359941,-0.244989,3.5417
2240,4844,-1.340225,-0.204594,3.5379
2320,4987,-1.359603,0.012708,3.5524
2400,5122,-1.307032,0.099703,3.7778
2480,5257,-1.311842,0.065466,3.7926
2560,5394,-1.311128,0.087553,3.7664
2640,5532,-1.321401,-0.081812,3.7174
2720,5664,-1.307204,-0.149448,3.8258
2800,5790,-1.315457,-0.031153,4.1032
2880,5921,-1.304148,-0.093745,3.9542
2960,6049,-1.292118,-0.088372,3.9219
3040,6181,-1.338084,-0.024454,3.8939
3120,6313,-1.276769,-0.039406,3.9545
3200,6431,-1.278901,-0.047613,4.2458
3280,6553,-1.297708,-0.196893,4.2131
3360,6676,-1.312375,0.044170,4.1626
3440,6792,-1.296356,0.080891,4.4224
3520,6909,-1.274213,0.155463,4.3504
3600,7021,-1.276979,0.197008,4.5446
3680,7137,-1.279848,-0.019125,4.3793
3760,7259,-1.277014,-0.027360,4.2213
3840,7383,-1.267902,0.066129,4.2016
3920,7500,-1.285891,-0.178654,4.4274
4000,7618,-1.289306,0.161805,4.2542
4080,7731,-1.281220,0.129338,4.5398
4160,7852,-1.269306,-0.194333,4.2645
4240,7971,-1.257444,0.031286,4.2689
4320,8084,-1.270516,-0.005942,4.5487
4400,8202,-1.251593,-0.238105,4.2797
4480,8320,-1.249204,0.033926,4.3390
4560,8439,-1.259099,-0.025086,4.3697
4640,8545,-1.255883,-0.121359,4.7736
4720,8661,-1.227624,0.236372,4.3966
4800,8774,-1.218331,0.003422,4.5044
4880,8888,-1.194426,-0.117647,4.5263
4960,8995,-1.201096,-0.057513,4.7850
5040,9102,-1.205096,-0.096803,4.8037
5120,9210,-1.175192,0.079612,4.7130
5200,9314,-1.198053,0.145520,4.9519
5280,9417,-1.166224,-0.057631,4.9417
5360,9523,-1.189746,-0.152456,4.8491
5440,9628,-1.188039,0.113022,4.8476
5520,9734,-1.199275,0.090856,4.8774
5600,9832,-1.171785,-0.058743,5.1837
5680,9927,-1.156813,0.073720,5.4105
5760,10029,-1.192551,-0.034127,5.0980
5840,10127,-1.182259,-0.076800,5.1122
5920,10221,-1.166518,0.045516,5.4787
6000,10314,-1.141415,-0.023451,5.4301
6080,10411,-1.155890,-0.147149,5.3608
6160,10504,-1.136719,0.085957,5.4194
6240,10598,-1.126768,0.098871,5.4681
6320,10694,-1.126292,0.079426,5.3646
6400,10788,-1.143705,0.110785,5.3830
6480,10875,-1.101497,0.078302,5.9310
6560,10966,-1.147866,-0.027368,5.6484
6640,11053,-1.085796,-0.035236,5.8621
6720,11137,-1.075015,-0.019785,5.9524
6800,11224,-1.070003,-0.095182,5.9080
6880,11308,-1.085434,-0.204563,6.1429
6960,11394,-1.074173,-0.012565,6.0465
7040,11479,-1.068163,0.149518,6.0118
7120,11561,-1.032695,0.108569,6.1098
7200,11646,-1.086377,-0.016023,6.0471
7280,11736,-1.064693,-0.061145,5.8222
7360,11820,-1.043341,0.050635,6.0833
7440,11905,-1.053816,0.081468,5.9882
7520,11993,-0.994415,-0.008897,5.8523
7600,12074,-1.026616,-0.070054,6.2099
7680,12156,-1.029637,0.263304,6.3659
7760,12235,-1.028015,-0.213584,6.4177
7840,12311,-1.002549,-0.089958,6.6053
7920,12388,-1.006813,-0.007667,6.7143
8000,12464,-1.011445,0.039676,6.8421
8080,12544,-0.951347,0.330302,6.4125
8160,12622,-1.002545,-0.041251,6.5769
8240,12698,-0.946902,0.006371,6.5658
8320,12777,-0.906906,-0.132393,6.5823
8400,12851,-0.936134,0.080711,6.7703
8480,12925,-0.920368,-0.256491,7.0811
8560,12996,-0.924618,0.044097,6.9859
8640,13068,-0.866014,0.183912,7.2778
8720,13141,-0.841609,0.143438,7.0685
8800,13211,-0.880146,0.090671,7.2000
8880,13283,-0.884314,-0.034910,7.2778
8960,13355,-0.893904,-0.297914,7.0417
9040,13425,-0.861522,-0.121128,7.2714
9120,13495,-0.964280,0.092007,7.2714
9200,13564,-0.913460,0.069385,7.4638
9280,13637,-0.824131,0.114218,7.0411
9360,13704,-0.883186,0.029191,7.4328
9440,13780,-0.888496,-0.006907,6.9474
9520,13849,-0.893061,0.017685,7.2174
9600,13919,-0.852698,-0.071336,7.4000
9680,13985,-0.899159,0.048129,7.7121
9760,14057,-0.905217,0.006095,7.3611
9840,14125,-0.852878,-0.081919,7.3971
9920,14193,-0.833767,0.003937,7.3824
10000,14262,-0.796274,0.000361,7.5797
10080,14328,-0.835651,0.099065,7.6061
10160,14395,-0.829564,0.141629,7.5821
10240,14463,-0.825768,-0.074574,7.5882
10320,14528,-0.834011,-0.243108,7.9077
10400,14593,-0.797255,-0.228167,7.9231
10480,14657,-0.783326,0.208239,8.0156
10560,14722,-0.797534,0.013473,7.7231
10640,14786,-0.760549,0.250377,8.0781
10720,14851,-0.783536,-0.072042,7.7538
10800,14918,-0.854828,0.211030,7.7612
10880,14982,-0.836964,0.190587,8.1250
10960,15047,-0.799047,0.222803,7.7385
