seed,function_id,best_error,evals_used
900000,12,1.486574e+02,300000
900001,12,1.763775e+02,300000
900002,12,1.512746e+02,300000
900003,12,1.616067e+02,300000
900004,12,9.482565e+01,300000
900005,12,1.991109e+02,300000
900006,12,1.862610e+02,300000
900007,12,1.043070e+02,300000
900008,12,1.684784e+02,300000
900009,12,1.421398e+02,300000
900010,12,1.423682e+02,300000
900011,12,1.704214e+02,300000
900012,12,1.622326e+02,300000
900013,12,1.835176e+02,300000
900014,12,1.324174e+02,300000
900015,12,1.486993e+02,300000
900016,12,1.615058e+02,300000
900017,12,1.954672e+02,300000
900018,12,1.448660e+02,300000
900019,12,1.617048e+02,300000
900020,12,1.452177e+02,300000
900021,12,1.726909e+02,300000
900022,12,1.900568e+02,300000
900023,12,1.180342e+02,300000
900024,12,1.972694e+02,300000
900025,12,1.517453e+02,300000
900026,12,1.308520e+02,300000
900027,12,1.397330e+02,300000
900028,12,1.716963e+02,300000
900029,12,1.709569e+02,300000
900030,12,1.276446e+02,300000
900031,12,1.804243e+02,300000
900032,12,1.170852e+02,300000
900033,12,1.740542e+02,300000
900034,12,1.408466e+02,300000
900035,12,1.888363e+02,300000
900036,12,1.158658e+02,300000
900037,12,1.567946e+02,300000
900038,12,1.238836e+02,300000
900039,12,1.294232e+02,300000
900040,12,1.643168e+02,300000
900041,12,1.680782e+02,300000
900042,12,1.608292e+02,300000
900043,12,1.161411e+02,300000
900044,12,1.663582e+02,300000
900045,12,1.661417e+02,300000
900046,12,1.401324e+02,300000
900047,12,1.714380e+02,300000
900048,12,1.391725e+02,300000
900049,12,1.850111e+02,300000
900050,12,1.948682e+02,300000
