training_step,episode,mean_return,mean_loss,mean_episode_length
80,204,-0.634418,2.598279,2.4706
160,412,-0.152938,1.893563,2.4856
240,606,0.664585,3.778571,2.6186
320,806,1.682971,4.213366,2.5550
400,1003,2.582540,3.974686,2.6091
480,1194,2.774124,4.075901,2.6702
560,1388,3.470806,4.248800,2.6443
640,1577,4.491828,4.500065,2.6878
720,1773,4.854993,4.092189,2.6480
800,1961,5.793073,2.752088,2.7287
880,2152,6.469020,2.596992,2.6492
960,2344,6.553664,2.639764,2.7031
1040,2535,6.868920,0.758767,2.6597
1120,2724,7.291880,1.138120,2.6878
1200,2918,7.518017,0.866522,2.6495
1280,3106,7.696398,0.096927,2.7340
1360,3295,7.481323,0.094751,2.6931
1440,3481,7.752926,0.304649,2.7796
1520,3661,7.767687,0.627547,2.8167
1600,3859,7.657384,0.422919,2.6111
1680,4047,7.976389,-0.090285,2.6915
1760,4230,7.873866,0.096104,2.7923
1840,4421,7.963511,-0.149114,2.7173
1920,4607,7.833074,1.198937,2.7204
2000,4791,7.906944,0.196588,2.7717
2080,4972,7.927637,-0.026856,2.8287
2160,5161,7.921993,-0.093979,2.7354
2240,5357,7.982221,0.141887,2.6173
2320,5555,7.871610,0.106955,2.5808
2400,5749,7.964075,-0.209089,2.6340
2480,5946,7.924024,0.164023,2.6142
2560,6145,7.919172,0.104165,2.5578
2640,6340,8.000000,-0.174492,2.6103
2720,6544,7.943713,0.748771,2.5392
2800,6753,8.000000,-0.162364,2.4498
2880,6954,8.000000,-0.148522,2.5423
2960,7161,7.927695,-0.098550,2.4734
3040,7364,8.000000,0.022787,2.5320
3120,7577,7.962452,0.016195,2.3662
3200,7795,8.000000,0.038649,2.3761
3280,8012,7.983941,-0.094410,2.3687
3360,8236,7.948739,0.039227,2.2768
3440,8459,7.984374,-0.124222,2.3094
3520,8684,7.939809,-0.096944,2.2667
3600,8905,8.000000,0.125013,2.3167
3680,9136,7.897978,1.023150,2.2121
3760,9362,7.933773,-0.042524,2.2566
3840,9581,7.947568,0.677075,2.3379
3920,9811,7.969698,-0.064163,2.2304
4000,10038,7.949416,-0.088834,2.2335
4080,10272,7.950929,-0.020234,2.2222
4160,10502,7.972271,-0.059889,2.2130
4240,10729,7.963385,0.140618,2.2687
4320,10959,7.965227,-0.006444,2.2304
4400,11181,7.963974,0.246253,2.3018
4480,11414,7.898438,0.873150,2.2017
4560,11641,7.939460,0.168079,2.2555
4640,11863,7.984303,-0.335191,2.2793
4720,12091,7.984716,0.124025,2.2719
4800,12315,7.961604,0.591127,2.2768
4880,12546,7.916156,-0.020162,2.2078
4960,12776,7.903488,-0.065042,2.2348
5040,13006,7.969698,-0.024561,2.2217
5120,13245,7.985420,0.045635,2.1506
5200,13480,7.933728,0.125950,2.1745
5280,13713,7.936986,-0.101217,2.2017
5360,13947,7.935953,-0.021453,2.1838
5440,14182,7.906934,-0.097009,2.1830
5520,14417,7.951138,-0.061359,2.1660
5600,14657,7.956441,0.759593,2.1500
5680,14884,7.930388,0.049112,2.2467
5760,15113,8.000000,-0.015520,2.2271
