training_step,elapsed_seconds,mean_return,std_return,mean_loss,mean_eval_fitness,std_eval_fitness,mean_episode_length
140000,92446.27,-1.356554,0.059528,0.000102,2.090682e+01,3.631199e-02,17.5175
142000,93484.40,-1.376419,0.066948,0.000099,2.088448e+01,6.207368e-02,20.3131
144000,94998.48,-1.379531,0.074277,0.000101,2.093654e+01,4.660576e-02,20.4536
146000,96087.51,-1.368961,0.068714,0.000097,2.094711e+01,4.071114e-02,18.6574
148000,97135.53,-1.369129,0.066277,0.000097,2.093283e+01,5.690935e-02,19.0381
150000,98158.14,-1.377338,0.070225,0.000098,2.089608e+01,3.008417e-02,20.4845
152000,99238.85,-1.376226,0.067332,0.000096,2.093118e+01,4.841854e-02,18.9057
154000,100355.43,-1.372849,0.068439,0.000100,2.090057e+01,6.308007e-02,18.0360
156000,101647.38,-1.358441,0.055613,0.000100,2.093900e+01,7.096919e-02,14.7704
158000,102803.31,-1.366845,0.063114,0.000101,2.089351e+01,4.654030e-02,16.9244
160000,103842.79,-1.382281,0.072211,0.000097,2.093873e+01,3.665106e-02,20.1414
161983,105429.75,-1.375243,0.074737,0.000098,2.095246e+01,3.479144e-02,17.0171
