training_step,episode,mean_return,mean_loss,mean_episode_length
80,153,-2.110673,-0.045305,3.2941
160,302,-2.078356,0.048094,3.4497
240,448,-2.038156,0.009739,3.4795
320,591,-2.010091,-0.043416,3.5524
400,746,-1.958435,-0.040692,3.3032
480,892,-1.901929,0.127028,3.5274
560,1051,-1.864742,-0.006260,3.2201
640,1202,-1.816633,-0.304948,3.3642
720,1350,-1.802376,-0.136777,3.5270
800,1493,-1.688417,-0.104837,3.5385
880,1637,-1.650208,-0.092126,3.5694
960,1784,-1.628110,-0.029670,3.4626
1040,1926,-1.605395,0.105662,3.6127
1120,2068,-1.530810,-0.086310,3.5915
1200,2210,-1.476740,-0.098129,3.5915
1280,2339,-1.448653,0.048772,3.9767
1360,2469,-1.407437,-0.247511,3.9154
1440,2607,-1.367943,-0.316823,3.7101
1520,2748,-1.404179,-0.044577,3.6525
1600,2882,-1.361664,-0.151245,3.8507
1680,3020,-1.332302,0.097096,3.7174
1760,3152,-1.356986,-0.037436,3.8561
1840,3284,-1.290706,0.024649,3.8333
1920,3431,-1.318457,-0.041167,3.5238
2000,3573,-1.314453,0.159940,3.6056
2080,3715,-1.303590,-0.212410,3.6408
2160,3860,-1.284687,-0.035182,3.5310
2240,4005,-1.272157,-0.042739,3.5103
2320,4151,-1.271593,-0.005297,3.4932
2400,4300,-1.231164,-0.067269,3.4497
2480,4448,-1.247988,0.111408,3.4797
2560,4598,-1.236448,-0.024922,3.4133
2640,4747,-1.234792,0.068193,3.4295
2720,4899,-1.211142,0.186949,3.3553
2800,5048,-1.220992,-0.102905,3.4027
2880,5198,-1.207484,-0.321884,3.4133
2960,5346,-1.225889,-0.068209,3.5068
3040,5497,-1.205830,-0.007439,3.3709
3120,5647,-1.201704,-0.107045,3.4000
3200,5795,-1.198031,-0.068088,3.4662
3280,5941,-1.205621,-0.073998,3.4932
3360,6088,-1.190623,0.142740,3.5306
3440,6233,-1.205778,-0.119220,3.5241
3520,6383,-1.192341,-0.093460,3.3667
3600,6532,-1.176218,-0.059514,3.4497
3680,6681,-1.191129,-0.025584,3.4362
3760,6832,-1.193606,0.044900,3.3974
3840,6986,-1.162029,-0.068339,3.3182
3920,7140,-1.157943,0.067658,3.3442
4000,7292,-1.173187,0.199657,3.3684
4080,7439,-1.177221,0.033787,3.5034
4160,7586,-1.178735,-0.026168,3.4694
4240,7740,-1.190578,-0.025690,3.2857
4320,7889,-1.163954,-0.038587,3.4765
4400,8042,-1.167433,-0.064626,3.3791
4480,8188,-1.164582,0.189886,3.4658
4560,8343,-1.159750,0.115092,3.3097
4640,8490,-1.171342,-0.088767,3.4830
4720,8644,-1.185993,-0.018527,3.3312
4800,8792,-1.178673,0.161172,3.4257
4880,8948,-1.162640,-0.045367,3.2949
4960,9099,-1.184864,-0.198490,3.4106
5040,9244,-1.179014,0.012782,3.5103
5120,9393,-1.165017,-0.072512,3.4027
5200,9545,-1.155141,-0.096978,3.4276
5280,9701,-1.152882,-0.022231,3.2821
5360,9851,-1.163883,-0.138587,3.3933
5440,10001,-1.141010,0.076402,3.4067
5520,10154,-1.175541,0.190379,3.3268
5600,10317,-1.165868,0.056471,3.1902
5680,10471,-1.159140,0.010382,3.2987
5760,10623,-1.161587,-0.114127,3.3816
5840,10777,-1.159401,-0.054666,3.3052
5920,10938,-1.166822,-0.165168,3.1491
6000,11095,-1.157932,0.060894,3.3185
6080,11245,-1.136100,0.042079,3.3733
6160,11399,-1.177891,-0.037942,3.3442
6240,11557,-1.151801,0.137060,3.2595
6320,11718,-1.166616,-0.035048,3.1677
6400,11886,-1.142129,-0.230499,3.0774
6480,12041,-1.137628,-0.057676,3.2452
6560,12205,-1.139973,0.021711,3.1646
6640,12364,-1.156431,0.158674,3.1887
6720,12530,-1.170674,-0.078283,3.0904
6800,12692,-1.152029,-0.194481,3.1605
6880,12851,-1.147299,0.115308,3.2453
6960,13011,-1.140379,-0.052192,3.1750
7040,13178,-1.152987,-0.111514,3.0898
7120,13346,-1.151302,0.123642,3.0238
7200,13512,-1.133027,0.116760,3.0964
7280,13674,-1.145320,0.109377,3.1358
7360,13836,-1.130718,-0.170028,3.1667
7440,14000,-1.152307,-0.206666,3.1524
7520,14174,-1.127953,0.064389,2.9368
7600,14339,-1.135722,0.362229,3.0848
7680,14512,-1.162570,-0.022772,2.9711
7760,14676,-1.161155,0.165772,3.0915
7840,14848,-1.160315,0.207437,3.0058
7920,15015,-1.163575,0.102183,3.0479
